"DW","month","year","round","Dogs"
"liwale_mirui",14,2011,1,17
"liwale_mkutano",14,2011,1,3
"liwale_mlembwe",14,2011,1,49
"liwale_mpigamiti",14,2011,1,32
"liwale_nangando",14,2011,1,38
"liwale_nangano",14,2011,1,23
"liwale_ngongowele",14,2011,1,32
"masasi_chigugu",14,2011,1,4
"masasi_chiungutwa",14,2011,1,8
"masasi_chiwale",14,2011,1,22
"masasi_lukuledi",14,2011,1,21
"masasi_mbuyuni",14,2011,1,84
"masasi_mchauru",14,2011,1,49
"masasi_mkululu",14,2011,1,29
"masasi_mlingula",14,2011,1,9
"masasi_mpanyani",14,2011,1,156
"masasi_mwena",14,2011,1,74
"masasi_namajani",14,2011,1,18
"masasi_namalenga",14,2011,1,24
"masasi_namatutwe",14,2011,1,11
"masasi_nanjota",14,2011,1,37
"masasitownshipauthority_mkomaindo",14,2011,1,35
"masasitownshipauthority_mkuti",14,2011,1,50
"masasitownshipauthority_mtandi",14,2011,1,50
"masasitownshipauthority_mwengemtapika",14,2011,1,19
"masasitownshipauthority_nyasa",14,2011,1,42
"masasitownshipauthority_sululu",14,2011,1,26
"masasitownshipauthority_temeke",14,2011,1,42
"mtwararural_chawi",14,2011,1,22
"mtwararural_dihimba",14,2011,1,25
"mtwararural_kiromba",14,2011,1,5
"mtwararural_kitaya",14,2011,1,7
"mtwararural_kitere",14,2011,1,32
"mtwararural_kiyanga",14,2011,1,21
"mtwararural_libobe",14,2011,1,19
"mtwararural_mahurunga",14,2011,1,19
"mtwararural_mayanga",14,2011,1,16
"mtwararural_mbembaleo",14,2011,1,28
"mtwararural_milangominne",14,2011,1,13
"mtwararural_mnima",14,2011,1,19
"mtwararural_mpapura",14,2011,1,15
"mtwararural_msangamkuu",14,2011,1,5
"mtwararural_mtimbwilimbwi",14,2011,1,19
"mtwararural_mtiniko",14,2011,1,16
"mtwararural_namtumbuka",14,2011,1,4
"mtwararural_nanguruwe",14,2011,1,15
"mtwararural_nanyamba",14,2011,1,17
"mtwararural_naumbu",14,2011,1,10
"mtwararural_ndumbwe",14,2011,1,50
"mtwararural_njengwa",14,2011,1,87
"mtwararural_tangazo",14,2011,1,21
"nachingwea_chiola",14,2011,1,78
"nachingwea_kiegei",14,2011,1,7
"nachingwea_kilimanihewa",14,2011,1,55
"nachingwea_kilimarondo",14,2011,1,38
"nachingwea_kiparamnero",14,2011,1,86
"nachingwea_lionja",14,2011,1,74
"nachingwea_marambo",14,2011,1,160
"nachingwea_matekwe",14,2011,1,25
"nachingwea_mbondo",14,2011,1,64
"nachingwea_mkoka",14,2011,1,61
"nachingwea_mkotokuyana",14,2011,1,23
"nachingwea_mneromiembeni",14,2011,1,92
"nachingwea_mnerongongo",14,2011,1,126
"nachingwea_mpiruka",14,2011,1,106
"nachingwea_mtua",14,2011,1,111
"nachingwea_naipanga",14,2011,1,29
"nachingwea_naipingo",14,2011,1,215
"nachingwea_namapwia",14,2011,1,58
"nachingwea_nambambo",14,2011,1,42
"nachingwea_namikango",14,2011,1,54
"nachingwea_nangowe",14,2011,1,129
"nachingwea_nditi",14,2011,1,105
"nachingwea_ndomoni",14,2011,1,33
"nachingwea_ruponda",14,2011,1,173
"nachingwea_stesheni",14,2011,1,36
"nanyumbu_chipuputa",14,2011,1,23
"nanyumbu_lumesule",14,2011,1,24
"nanyumbu_mangaka",14,2011,1,52
"nanyumbu_masuguru",14,2011,1,61
"nanyumbu_mikangaula",14,2011,1,47
"nanyumbu_mkonona",14,2011,1,84
"nanyumbu_mnanje",14,2011,1,43
"nanyumbu_nandete",14,2011,1,64
"nanyumbu_nangomba",14,2011,1,48
"nanyumbu_nanyumbu",14,2011,1,114
"nanyumbu_napacho",14,2011,1,18
"nanyumbu_sengenya",14,2011,1,51
"ruangwa_chibula",14,2011,1,20
"ruangwa_chienjele",14,2011,1,189
"ruangwa_chinongwe",14,2011,1,289
"ruangwa_chunyu",14,2011,1,17
"ruangwa_likunja",14,2011,1,20
"ruangwa_luchelegwa",14,2011,1,43
"ruangwa_malolo",14,2011,1,63
"ruangwa_mandawa",14,2011,1,45
"ruangwa_matambarale",14,2011,1,50
"ruangwa_mbekenyera",14,2011,1,67
"ruangwa_mnacho",14,2011,1,45
"ruangwa_nachingwea",14,2011,1,52
"ruangwa_nambilanje",14,2011,1,36
"ruangwa_namichiga",14,2011,1,42
"ruangwa_nandagala",14,2011,1,34
"ruangwa_nanganga",14,2011,1,33
"ruangwa_narungombe",14,2011,1,1
"ruangwa_nkowe",14,2011,1,74
"ruangwa_ruangwa",14,2011,1,27
"mtwaraurban_chikongola",15,2011,1,5
"mtwaraurban_chuno",15,2011,1,172
"mtwaraurban_jangwani",15,2011,1,19
"mtwaraurban_likombe",15,2011,1,72
"mtwaraurban_naliendele",15,2011,1,47
"mtwaraurban_railway",15,2011,1,10
"mtwaraurban_shangani",15,2011,1,116
"mtwaraurban_ufukoni",15,2011,1,115
"newala_chihangu",15,2011,1,47
"newala_chilangala",15,2011,1,49
"newala_chiwonga",15,2011,1,2
"newala_kitangari",15,2011,1,40
"newala_luchindu",15,2011,1,129
"newala_makonga",15,2011,1,8
"newala_makukwe",15,2011,1,7
"newala_malatu",15,2011,1,26
"newala_maputi",15,2011,1,33
"newala_mchemo",15,2011,1,14
"newala_mcholii",15,2011,1,7
"newala_mcholiii",15,2011,1,20
"newala_mdimbampelempele",15,2011,1,147
"newala_mkunya",15,2011,1,9
"newala_mnekachi",15,2011,1,10
"newala_mnyambe",15,2011,1,245
"newala_mtonya",15,2011,1,6
"newala_mtopwa",15,2011,1,13
"newala_nakahako",15,2011,1,18
"newala_nambali",15,2011,1,10
"newala_namiyonga",15,2011,1,5
"newala_nandwahi",15,2011,1,2
"newala_nanguruwe",15,2011,1,157
"tandahimba_chaume",18,2011,1,36
"tandahimba_chingungwe",18,2011,1,52
"tandahimba_kitama",18,2011,1,16
"tandahimba_litehu",18,2011,1,13
"tandahimba_luagala",18,2011,1,13
"tandahimba_lukokoda",18,2011,1,21
"tandahimba_lyenje",18,2011,1,49
"tandahimba_mahuta",18,2011,1,17
"tandahimba_maundo",18,2011,1,52
"tandahimba_mchichira",18,2011,1,32
"tandahimba_mdimbamnyoma",18,2011,1,8
"tandahimba_michenjele",18,2011,1,24
"tandahimba_mihambwe",18,2011,1,14
"tandahimba_milingodi",18,2011,1,23
"tandahimba_mkonjowano",18,2011,1,36
"tandahimba_mkoreha",18,2011,1,6
"tandahimba_mkundi",18,2011,1,6
"tandahimba_mkwiti",18,2011,1,29
"tandahimba_mnyawa",18,2011,1,14
"tandahimba_nambahu",18,2011,1,11
"tandahimba_namikupa",18,2011,1,29
"tandahimba_nanhyanga",18,2011,1,15
"tandahimba_naputa",18,2011,1,40
"tandahimba_ngunja",18,2011,1,7
"tandahimba_tandahimba",18,2011,1,32
"kilwa_chumo",30,2012,2,57
"kilwa_kandawale",30,2012,2,118
"kilwa_kibata",30,2012,2,27
"kilwa_kikole",30,2012,2,19
"kilwa_kinjumbi",30,2012,2,425
"kilwa_kipatimu",30,2012,2,106
"kilwa_kiranjeranje",30,2012,2,329
"kilwa_kivinjesingino",30,2012,2,63
"kilwa_lihimalyao",30,2012,2,73
"kilwa_likawage",30,2012,2,44
"kilwa_mandawa",30,2012,2,110
"kilwa_masoko",30,2012,2,46
"kilwa_miguruwe",30,2012,2,22
"kilwa_mingumbi",30,2012,2,59
"kilwa_miteja",30,2012,2,94
"kilwa_mitole",30,2012,2,3
"kilwa_nanjirinji",30,2012,2,67
"kilwa_njinjo",30,2012,2,26
"kilwa_pandemikoma",30,2012,2,221
"kilwa_tingi",30,2012,2,51
"lindirural_chiponda",30,2012,2,105
"lindirural_kilangala",30,2012,2,57
"lindirural_kilolambwani",30,2012,2,21
"lindirural_kitomanga",30,2012,2,152
"lindirural_kiwalala",30,2012,2,84
"lindirural_kiwawa",30,2012,2,31
"lindirural_longa",30,2012,2,29
"lindirural_majengo",30,2012,2,55
"lindirural_mandwanga",30,2012,2,76
"lindirural_mchinga",30,2012,2,9
"lindirural_milola",30,2012,2,112
"lindirural_mipingo",30,2012,2,28
"lindirural_mnara",30,2012,2,115
"lindirural_mnolela",30,2012,2,84
"lindirural_mtama",30,2012,2,25
"lindirural_mtua",30,2012,2,34
"lindirural_nahukahuka",30,2012,2,61
"lindirural_namangale",30,2012,2,50
"lindirural_navanga",30,2012,2,45
"lindirural_nyangamara",30,2012,2,96
"lindirural_nyangao",30,2012,2,80
"lindirural_nyengedi",30,2012,2,25
"lindirural_pangatena",30,2012,2,55
"lindirural_rutamba",30,2012,2,150
"lindirural_sudi",30,2012,2,167
"lindiurban_chikonji",30,2012,2,47
"lindiurban_jamhuri",30,2012,2,85
"lindiurban_makonde",30,2012,2,12
"lindiurban_matopeni",30,2012,2,85
"lindiurban_mbanja",30,2012,2,49
"lindiurban_mikumbi",30,2012,2,2
"lindiurban_mingoyo",30,2012,2,90
"lindiurban_mitandi",30,2012,2,9
"lindiurban_msinjahili",30,2012,2,55
"lindiurban_mtanda",30,2012,2,139
"lindiurban_mwenge",30,2012,2,10
"lindiurban_nachingwea",30,2012,2,35
"lindiurban_ngapa",30,2012,2,123
"lindiurban_rahaleo",30,2012,2,7
"lindiurban_rasbura",30,2012,2,76
"lindiurban_tandangongoro",30,2012,2,144
"liwale_barikiwa",30,2012,2,22
"liwale_kiangara",30,2012,2,47
"liwale_kibutuka",30,2012,2,50
"liwale_kichonda",30,2012,2,39
"liwale_kimambi",30,2012,2,8
"liwale_likongowele",30,2012,2,67
"liwale_lilombe",30,2012,2,3
"liwale_liwaleb",30,2012,2,116
"liwale_liwalemjini",30,2012,2,42
"liwale_makata",30,2012,2,38
"liwale_mangirikiti",30,2012,2,69
"liwale_mbaya",30,2012,2,59
"liwale_mihumo",30,2012,2,56
"liwale_mirui",30,2012,2,18
"liwale_mpigamiti",30,2012,2,25
"liwale_nangando",30,2012,2,60
"liwale_nangano",30,2012,2,38
"liwale_ngongowele",30,2012,2,23
"masasi_chigugu",30,2012,2,243
"masasi_chikolopola",30,2012,2,92
"masasi_chiungutwa",30,2012,2,48
"masasi_chiwale",30,2012,2,19
"masasi_chiwata",30,2012,2,145
"masasi_lukuledi",30,2012,2,63
"masasi_lulindi",30,2012,2,75
"masasi_mchauru",30,2012,2,132
"masasi_mkululu",30,2012,2,320
"masasi_mlingula",30,2012,2,55
"masasi_mnavira",30,2012,2,83
"masasi_mpanyani",30,2012,2,23
"masasi_mwena",30,2012,2,338
"masasi_namajani",30,2012,2,32
"masasi_namalenga",30,2012,2,89
"masasi_namatutwe",30,2012,2,85
"masasi_nanganga",30,2012,2,111
"masasi_nanjota",30,2012,2,160
"masasi_sindano",30,2012,2,77
"masasitownshipauthority_jida",30,2012,2,111
"masasitownshipauthority_marika",30,2012,2,110
"masasitownshipauthority_migongo",30,2012,2,188
"masasitownshipauthority_mkomaindo",30,2012,2,112
"masasitownshipauthority_mkuti",30,2012,2,85
"masasitownshipauthority_mpindimbi",30,2012,2,79
"masasitownshipauthority_mtandi",30,2012,2,120
"masasitownshipauthority_mwengemtapika",30,2012,2,137
"masasitownshipauthority_nyasa",30,2012,2,89
"masasitownshipauthority_sululu",30,2012,2,79
"masasitownshipauthority_temeke",30,2012,2,149
"mtwararural_chawi",30,2012,2,35
"mtwararural_dihimba",30,2012,2,40
"mtwararural_kiromba",30,2012,2,9
"mtwararural_kitaya",30,2012,2,25
"mtwararural_kitere",30,2012,2,50
"mtwararural_kiyanga",30,2012,2,2
"mtwararural_libobe",30,2012,2,43
"mtwararural_madimba",30,2012,2,32
"mtwararural_mahurunga",30,2012,2,44
"mtwararural_mayanga",30,2012,2,40
"mtwararural_mbawala",30,2012,2,40
"mtwararural_mbembaleo",30,2012,2,14
"mtwararural_milangominne",30,2012,2,15
"mtwararural_mnima",30,2012,2,19
"mtwararural_mpapura",30,2012,2,37
"mtwararural_msangamkuu",30,2012,2,17
"mtwararural_mtimbwilimbwi",30,2012,2,28
"mtwararural_mtiniko",30,2012,2,17
"mtwararural_muungano",30,2012,2,20
"mtwararural_namtumbuka",30,2012,2,62
"mtwararural_nanguruwe",30,2012,2,12
"mtwararural_nanyamba",30,2012,2,25
"mtwararural_naumbu",30,2012,2,41
"mtwararural_ndumbwe",30,2012,2,52
"mtwararural_nitekela",30,2012,2,30
"mtwararural_njengwa",30,2012,2,46
"mtwararural_tangazo",30,2012,2,22
"mtwararural_ziwani",30,2012,2,47
"mtwaraurban_chuno",30,2012,2,93
"mtwaraurban_jangwani",30,2012,2,8
"mtwaraurban_likombe",30,2012,2,66
"mtwaraurban_naliendele",30,2012,2,80
"mtwaraurban_ufukoni",30,2012,2,136
"nachingwea_chiola",30,2012,2,69
"nachingwea_kiegei",30,2012,2,12
"nachingwea_kilimanihewa",30,2012,2,70
"nachingwea_kilimarondo",30,2012,2,62
"nachingwea_kiparamnero",30,2012,2,86
"nachingwea_lionja",30,2012,2,146
"nachingwea_marambo",30,2012,2,160
"nachingwea_matekwe",30,2012,2,45
"nachingwea_mbondo",30,2012,2,78
"nachingwea_mkoka",30,2012,2,101
"nachingwea_mkotokuyana",30,2012,2,21
"nachingwea_mneromiembeni",30,2012,2,87
"nachingwea_mnerongongo",30,2012,2,108
"nachingwea_mpiruka",30,2012,2,145
"nachingwea_mtua",30,2012,2,254
"nachingwea_naipanga",30,2012,2,80
"nachingwea_naipingo",30,2012,2,350
"nachingwea_namapwia",30,2012,2,57
"nachingwea_nambambo",30,2012,2,120
"nachingwea_namikango",30,2012,2,98
"nachingwea_nangowe",30,2012,2,149
"nachingwea_nditi",30,2012,2,123
"nachingwea_ndomoni",30,2012,2,31
"nachingwea_ruponda",30,2012,2,203
"nachingwea_stesheni",30,2012,2,79
"nanyumbu_likokona",30,2012,2,85
"nanyumbu_lumesule",30,2012,2,37
"nanyumbu_maratani",30,2012,2,43
"nanyumbu_masuguru",30,2012,2,92
"nanyumbu_mikangaula",30,2012,2,79
"nanyumbu_mkonona",30,2012,2,105
"nanyumbu_mnanje",30,2012,2,17
"nanyumbu_nandete",30,2012,2,51
"nanyumbu_nanyumbu",30,2012,2,122
"nanyumbu_napacho",30,2012,2,84
"nanyumbu_sengenya",30,2012,2,31
"ruangwa_chibula",30,2012,2,21
"ruangwa_chienjele",30,2012,2,124
"ruangwa_chinongwe",30,2012,2,90
"ruangwa_likunja",30,2012,2,117
"ruangwa_luchelegwa",30,2012,2,40
"ruangwa_makanjiro",30,2012,2,44
"ruangwa_malolo",30,2012,2,86
"ruangwa_mandarawe",30,2012,2,27
"ruangwa_mandawa",30,2012,2,33
"ruangwa_matambarale",30,2012,2,18
"ruangwa_mbekenyera",30,2012,2,50
"ruangwa_mnacho",30,2012,2,168
"ruangwa_nambilanje",30,2012,2,41
"ruangwa_namichiga",30,2012,2,35
"ruangwa_nandagala",30,2012,2,69
"ruangwa_nanganga",30,2012,2,63
"ruangwa_narungombe",30,2012,2,17
"ruangwa_nkowe",30,2012,2,69
"ruangwa_ruangwa",30,2012,2,22
"tandahimba_chingungwe",30,2012,2,41
"tandahimba_dinduma",30,2012,2,66
"tandahimba_kwanyama",30,2012,2,2
"tandahimba_litehu",30,2012,2,34
"tandahimba_luagala",30,2012,2,163
"tandahimba_mahuta",30,2012,2,27
"tandahimba_maundo",30,2012,2,21
"tandahimba_mdimbamnyoma",30,2012,2,6
"tandahimba_mdumbwe",30,2012,2,13
"tandahimba_michenjele",30,2012,2,26
"tandahimba_mihambwe",30,2012,2,25
"tandahimba_milingodi",30,2012,2,28
"tandahimba_mnyawa",30,2012,2,25
"tandahimba_nambahu",30,2012,2,38
"tandahimba_namikupa",30,2012,2,18
"tandahimba_nanhyanga",30,2012,2,6
"tandahimba_naputa",30,2012,2,39
"tandahimba_tandahimba",30,2012,2,40
"newala_chihangu",33,2012,2,70
"newala_chilangala",33,2012,2,40
"newala_kitangari",33,2012,2,53
"newala_luchindu",33,2012,2,71
"newala_makote",33,2012,2,59
"newala_mdimbampelempele",33,2012,2,38
"newala_mkomaii",33,2012,2,60
"newala_mkunya",33,2012,2,235
"newala_mnekachi",33,2012,2,30
"newala_mnyambe",33,2012,2,215
"newala_mtonya",33,2012,2,5
"newala_nakahako",33,2012,2,21
"newala_nambali",33,2012,2,21
"newala_namiyonga",33,2012,2,12
"newala_nanguruwe",33,2012,2,180
"lindirural_chiponda",54,2014,3,65
"lindirural_kilangala",54,2014,3,58
"lindirural_kilolambwani",54,2014,3,11
"lindirural_kiwawa",54,2014,3,54
"lindirural_longa",54,2014,3,28
"lindirural_majengo",54,2014,3,54
"lindirural_mandwanga",54,2014,3,37
"lindirural_mchinga",54,2014,3,41
"lindirural_milola",54,2014,3,83
"lindirural_mipingo",54,2014,3,69
"lindirural_mnara",54,2014,3,69
"lindirural_mnolela",54,2014,3,62
"lindirural_mtama",54,2014,3,2
"lindirural_mtua",54,2014,3,18
"lindirural_mtumbya",54,2014,3,23
"lindirural_nahukahuka",54,2014,3,57
"lindirural_namangale",54,2014,3,58
"lindirural_namupa",54,2014,3,50
"lindirural_nangaru",54,2014,3,9
"lindirural_navanga",54,2014,3,46
"lindirural_nyangamara",54,2014,3,81
"lindirural_nyangao",54,2014,3,86
"lindirural_nyengedi",54,2014,3,41
"lindirural_sudi",54,2014,3,39
"lindiurban_chikonji",54,2014,3,35
"lindiurban_jamhuri",54,2014,3,111
"lindiurban_matopeni",54,2014,3,28
"lindiurban_mbanja",54,2014,3,50
"lindiurban_mikumbi",54,2014,3,5
"lindiurban_mingoyo",54,2014,3,82
"lindiurban_mitandi",54,2014,3,10
"lindiurban_msinjahili",54,2014,3,75
"lindiurban_mtanda",54,2014,3,131
"lindiurban_mwenge",54,2014,3,8
"lindiurban_nachingwea",54,2014,3,51
"lindiurban_ngapa",54,2014,3,119
"lindiurban_rahaleo",54,2014,3,1
"lindiurban_rasbura",54,2014,3,116
"lindiurban_tandangongoro",54,2014,3,92
"lindiurban_wailes",54,2014,3,16
"masasi_chigugu",54,2014,3,124
"masasi_chikolopola",54,2014,3,96
"masasi_chiungutwa",54,2014,3,117
"masasi_chiwale",54,2014,3,38
"masasi_chiwata",54,2014,3,80
"masasi_lipumburu",54,2014,3,83
"masasi_lukuledi",54,2014,3,84
"masasi_lulindi",54,2014,3,77
"masasi_mbuyuni",54,2014,3,77
"masasi_mchauru",54,2014,3,159
"masasi_mkululu",54,2014,3,148
"masasi_mkundi",54,2014,3,170
"masasi_mlingula",54,2014,3,69
"masasi_mnavira",54,2014,3,102
"masasi_mpanyani",54,2014,3,23
"masasi_mwena",54,2014,3,312
"masasi_namajani",54,2014,3,31
"masasi_namalenga",54,2014,3,80
"masasi_namatutwe",54,2014,3,121
"masasi_nanganga",54,2014,3,112
"masasi_nanjota",54,2014,3,160
"masasi_sindano",54,2014,3,86
"masasitownshipauthority_mpindimbi",54,2014,3,69
"mtwararural_chawi",54,2014,3,21
"mtwararural_dihimba",54,2014,3,21
"mtwararural_kiromba",54,2014,3,12
"mtwararural_kitaya",54,2014,3,33
"mtwararural_kitere",54,2014,3,55
"mtwararural_kiyanga",54,2014,3,2
"mtwararural_libobe",54,2014,3,25
"mtwararural_madimba",54,2014,3,34
"mtwararural_mahurunga",54,2014,3,48
"mtwararural_mayanga",54,2014,3,58
"mtwararural_mbawala",54,2014,3,51
"mtwararural_mbembaleo",54,2014,3,18
"mtwararural_milangominne",54,2014,3,12
"mtwararural_mnima",54,2014,3,37
"mtwararural_mpapura",54,2014,3,33
"mtwararural_msangamkuu",54,2014,3,14
"mtwararural_mtimbwilimbwi",54,2014,3,20
"mtwararural_mtiniko",54,2014,3,16
"mtwararural_muungano",54,2014,3,11
"mtwararural_namtumbuka",54,2014,3,70
"mtwararural_nanguruwe",54,2014,3,10
"mtwararural_nanyamba",54,2014,3,26
"mtwararural_naumbu",54,2014,3,62
"mtwararural_ndumbwe",54,2014,3,47
"mtwararural_nitekela",54,2014,3,14
"mtwararural_njengwa",54,2014,3,44
"mtwararural_tangazo",54,2014,3,40
"mtwararural_ziwani",54,2014,3,26
"nachingwea_chiola",54,2014,3,85
"nachingwea_kiegei",54,2014,3,17
"nachingwea_kilimanihewa",54,2014,3,96
"nachingwea_kilimarondo",54,2014,3,39
"nachingwea_kiparamnero",54,2014,3,47
"nachingwea_lionja",54,2014,3,130
"nachingwea_marambo",54,2014,3,116
"nachingwea_matekwe",54,2014,3,42
"nachingwea_mbondo",54,2014,3,99
"nachingwea_mkoka",54,2014,3,111
"nachingwea_mkotokuyana",54,2014,3,15
"nachingwea_mneromiembeni",54,2014,3,203
"nachingwea_mnerongongo",54,2014,3,141
"nachingwea_mpiruka",54,2014,3,124
"nachingwea_mtua",54,2014,3,174
"nachingwea_naipanga",54,2014,3,55
"nachingwea_naipingo",54,2014,3,178
"nachingwea_namapwia",54,2014,3,22
"nachingwea_namatula",54,2014,3,115
"nachingwea_nambambo",54,2014,3,284
"nachingwea_namikango",54,2014,3,82
"nachingwea_nangowe",54,2014,3,179
"nachingwea_nditi",54,2014,3,106
"nachingwea_ndomoni",54,2014,3,34
"nachingwea_ruponda",54,2014,3,198
"nachingwea_stesheni",54,2014,3,131
"nanyumbu_chipuputa",54,2014,3,48
"nanyumbu_likokona",54,2014,3,42
"nanyumbu_lumesule",54,2014,3,19
"nanyumbu_mangaka",54,2014,3,98
"nanyumbu_maratani",54,2014,3,68
"nanyumbu_masuguru",54,2014,3,66
"nanyumbu_mikangaula",54,2014,3,101
"nanyumbu_mkonona",54,2014,3,84
"nanyumbu_mnanje",54,2014,3,74
"nanyumbu_nandete",54,2014,3,125
"nanyumbu_nangomba",54,2014,3,112
"nanyumbu_nanyumbu",54,2014,3,145
"nanyumbu_napacho",54,2014,3,95
"nanyumbu_sengenya",54,2014,3,204
"ruangwa_chibula",54,2014,3,34
"ruangwa_chienjele",54,2014,3,117
"ruangwa_chinongwe",54,2014,3,98
"ruangwa_chunyu",54,2014,3,41
"ruangwa_likunja",54,2014,3,77
"ruangwa_luchelegwa",54,2014,3,62
"ruangwa_makanjiro",54,2014,3,43
"ruangwa_malolo",54,2014,3,98
"ruangwa_mandarawe",54,2014,3,16
"ruangwa_mandawa",54,2014,3,35
"ruangwa_matambarale",54,2014,3,42
"ruangwa_mbekenyera",54,2014,3,118
"ruangwa_mnacho",54,2014,3,66
"ruangwa_nachingwea",54,2014,3,43
"ruangwa_nandagala",54,2014,3,42
"ruangwa_nanganga",54,2014,3,47
"ruangwa_narungombe",54,2014,3,88
"ruangwa_ruangwa",54,2014,3,23
"tandahimba_chaume",54,2014,3,21
"tandahimba_chikongola",54,2014,3,2
"tandahimba_chingungwe",54,2014,3,42
"tandahimba_dinduma",54,2014,3,12
"tandahimba_kitama",54,2014,3,39
"tandahimba_kwanyama",54,2014,3,1
"tandahimba_litehu",54,2014,3,38
"tandahimba_luagala",54,2014,3,69
"tandahimba_lukokoda",54,2014,3,5
"tandahimba_lyenje",54,2014,3,27
"tandahimba_mahuta",54,2014,3,6
"tandahimba_maundo",54,2014,3,36
"tandahimba_mchichira",54,2014,3,30
"tandahimba_mdimbamnyoma",54,2014,3,16
"tandahimba_mdumbwe",54,2014,3,20
"tandahimba_michenjele",54,2014,3,42
"tandahimba_mihambwe",54,2014,3,16
"tandahimba_milingodi",54,2014,3,27
"tandahimba_miuta",54,2014,3,5
"tandahimba_mkonjowano",54,2014,3,68
"tandahimba_mkoreha",54,2014,3,5
"tandahimba_mkundi",54,2014,3,28
"tandahimba_mkwiti",54,2014,3,23
"tandahimba_mnyawa",54,2014,3,37
"tandahimba_nambahu",54,2014,3,26
"tandahimba_namikupa",54,2014,3,1
"tandahimba_nanhyanga",54,2014,3,24
"tandahimba_naputa",54,2014,3,8
"tandahimba_ngunja",54,2014,3,34
"tandahimba_tandahimba",54,2014,3,54
"kilwa_chumo",55,2014,3,128
"kilwa_kandawale",55,2014,3,107
"kilwa_kibata",55,2014,3,77
"kilwa_kikole",55,2014,3,58
"kilwa_kinjumbi",55,2014,3,169
"kilwa_kipatimu",55,2014,3,134
"kilwa_kiranjeranje",55,2014,3,311
"kilwa_kivinjesingino",55,2014,3,113
"kilwa_lihimalyao",55,2014,3,102
"kilwa_likawage",55,2014,3,64
"kilwa_mandawa",55,2014,3,60
"kilwa_masoko",55,2014,3,78
"kilwa_miguruwe",55,2014,3,60
"kilwa_mingumbi",55,2014,3,125
"kilwa_miteja",55,2014,3,144
"kilwa_mitole",55,2014,3,37
"kilwa_nanjirinji",55,2014,3,80
"kilwa_njinjo",55,2014,3,74
"kilwa_pandemikoma",55,2014,3,132
"kilwa_tingi",55,2014,3,67
"liwale_barikiwa",55,2014,3,45
"liwale_kiangara",55,2014,3,37
