"Correct_Village","DW","month","year","round","Dogs"
"kilwa_miteja_miteja","kilwa_miteja",14,2011,1,56
"kilwa_miteja_mtukwao","kilwa_miteja",14,2011,1,22
"kilwa_mitole_mitole","kilwa_mitole",14,2011,1,2
"kilwa_mitole_ngea","kilwa_mitole",14,2011,1,1
"kilwa_nanjirinji_nakiu","kilwa_nanjirinji",14,2011,1,9
"kilwa_nanjirinji_nanjia","kilwa_nanjirinji",14,2011,1,19
"kilwa_njinjo_kipindimbi","kilwa_njinjo",14,2011,1,23
"kilwa_njinjo_njinjo","kilwa_njinjo",14,2011,1,14
"kilwa_pandemikoma_malalani","kilwa_pandemikoma",14,2011,1,12
"kilwa_pandemikoma_mtitimila","kilwa_pandemikoma",14,2011,1,13
"kilwa_pandemikoma_nakimweramikoma","kilwa_pandemikoma",14,2011,1,19
"kilwa_pandemikoma_namwedo","kilwa_pandemikoma",14,2011,1,11
"kilwa_pandemikoma_nangookiwala","kilwa_pandemikoma",14,2011,1,17
"kilwa_pandemikoma_pandeploti","kilwa_pandemikoma",14,2011,1,27
"kilwa_tingi_mtandango","kilwa_tingi",14,2011,1,14
"kilwa_tingi_njianne","kilwa_tingi",14,2011,1,17
"kilwa_tingi_tingi","kilwa_tingi",14,2011,1,20
"lindirural_chiponda_chiodyaa","lindirural_chiponda",14,2011,1,30
"lindirural_chiponda_chiponda","lindirural_chiponda",14,2011,1,33
"lindirural_chiponda_mwangu","lindirural_chiponda",14,2011,1,18
"lindirural_chiponda_ntauna","lindirural_chiponda",14,2011,1,27
"lindirural_kilangala_kilangalab","lindirural_kilangala",14,2011,1,14
"lindirural_kilangala_mnimbila","lindirural_kilangala",14,2011,1,12
"lindirural_kilangala_mtumbikile","lindirural_kilangala",14,2011,1,8
"lindirural_kilolambwani_kilolambwani","lindirural_kilolambwani",14,2011,1,13
"lindirural_kilolambwani_mvulenia","lindirural_kilolambwani",14,2011,1,3
"lindirural_kilolambwani_mvulenib","lindirural_kilolambwani",14,2011,1,11
"lindirural_kitomanga_kitomanga","lindirural_kitomanga",14,2011,1,14
"lindirural_kitomanga_mkwajuni","lindirural_kitomanga",14,2011,1,14
"lindirural_kiwalala_kiwalala","lindirural_kiwalala",14,2011,1,13
"lindirural_kiwalala_mahumbika","lindirural_kiwalala",14,2011,1,17
"lindirural_kiwalala_narunyu","lindirural_kiwalala",14,2011,1,4
"lindirural_longa_longa","lindirural_longa",14,2011,1,26
"lindirural_longa_narwadi","lindirural_longa",14,2011,1,1
"lindirural_longa_tulieni","lindirural_longa",14,2011,1,3
"lindirural_majengo_majengoa","lindirural_majengo",14,2011,1,6
"lindirural_majengo_majengob","lindirural_majengo",14,2011,1,2
"lindirural_majengo_masasi","lindirural_majengo",14,2011,1,15
"lindirural_majengo_mbalala","lindirural_majengo",14,2011,1,7
"lindirural_majengo_mkwajuni","lindirural_majengo",14,2011,1,22
"lindirural_majengo_nangaka","lindirural_majengo",14,2011,1,6
"lindirural_mandwanga_lindwandwali","lindirural_mandwanga",14,2011,1,18
"lindirural_mandwanga_mandwanga","lindirural_mandwanga",14,2011,1,3
"lindirural_mandwanga_mikongi","lindirural_mandwanga",14,2011,1,10
"lindirural_matimba_likwaya","lindirural_matimba",14,2011,1,6
"lindirural_matimba_matimba","lindirural_matimba",14,2011,1,20
"lindirural_matimba_moka","lindirural_matimba",14,2011,1,11
"lindirural_mchinga_mchanganii","lindirural_mchinga",14,2011,1,12
"lindirural_mchinga_mchingaii","lindirural_mchinga",14,2011,1,5
"lindirural_milola_milolaa","lindirural_milola",14,2011,1,42
"lindirural_milola_milolamagharibi","lindirural_milola",14,2011,1,25
"lindirural_mipingo_lihimilo","lindirural_mipingo",14,2011,1,9
"lindirural_mipingo_mipingo","lindirural_mipingo",14,2011,1,10
"lindirural_mipingo_mnyangara","lindirural_mipingo",14,2011,1,23
"lindirural_mnara_mkangaii","lindirural_mnara",14,2011,1,17
"lindirural_mnara_mnara","lindirural_mnara",14,2011,1,10
"lindirural_mnara_mtakuja","lindirural_mnara",14,2011,1,21
"lindirural_mnara_ntene","lindirural_mnara",14,2011,1,35
"lindirural_mnara_nteneb","lindirural_mnara",14,2011,1,14
"lindirural_mnolela_mnolela","lindirural_mnolela",14,2011,1,7
"lindirural_mnolela_namunda","lindirural_mnolela",14,2011,1,35
"lindirural_mnolela_ruhokwe","lindirural_mnolela",14,2011,1,16
"lindirural_mnolela_zingatia","lindirural_mnolela",14,2011,1,4
"lindirural_mtama_makonde","lindirural_mtama",14,2011,1,3
"lindirural_mtama_mihogoni","lindirural_mtama",14,2011,1,3
"lindirural_mtama_mpenda","lindirural_mtama",14,2011,1,17
"lindirural_mtama_mvuleni","lindirural_mtama",14,2011,1,2
"lindirural_mtua_kilimahewaa","lindirural_mtua",14,2011,1,8
"lindirural_mtua_kilimahewab","lindirural_mtua",14,2011,1,3
"lindirural_mtumbya_kilimanjaro","lindirural_mtumbya",14,2011,1,13
"lindirural_mtumbya_mtumbya","lindirural_mtumbya",14,2011,1,10
"lindirural_nachunyu_nachunyu","lindirural_nachunyu",14,2011,1,9
"lindirural_nahukahuka_linoha","lindirural_nahukahuka",14,2011,1,12
"lindirural_nahukahuka_lipome","lindirural_nahukahuka",14,2011,1,21
"lindirural_nahukahuka_mbawala","lindirural_nahukahuka",14,2011,1,7
"lindirural_nahukahuka_nahukahuka","lindirural_nahukahuka",14,2011,1,30
"lindirural_namangale_chiwelele","lindirural_namangale",14,2011,1,20
"lindirural_namangale_namangale","lindirural_namangale",14,2011,1,11
"lindirural_namupa_mndawa","lindirural_namupa",14,2011,1,7
"lindirural_namupa_namupa","lindirural_namupa",14,2011,1,12
"lindirural_nangaru_mkombamosi","lindirural_nangaru",14,2011,1,13
"lindirural_nangaru_muungano","lindirural_nangaru",14,2011,1,39
"lindirural_navanga_mongomongo","lindirural_navanga",14,2011,1,33
"lindirural_navanga_navanga","lindirural_navanga",14,2011,1,9
"lindirural_nyangamara_liputi","lindirural_nyangamara",14,2011,1,6
"lindirural_nyangamara_madingo","lindirural_nyangamara",14,2011,1,9
"lindirural_nyangamara_nyangamaraa","lindirural_nyangamara",14,2011,1,15
"lindirural_nyangamara_nyangamarab","lindirural_nyangamara",14,2011,1,54
"lindirural_nyangamara_utimbe","lindirural_nyangamara",14,2011,1,1
"lindirural_nyangao_mtakujaii","lindirural_nyangao",14,2011,1,10
"lindirural_nyengedi_luwale","lindirural_nyengedi",14,2011,1,2
"lindirural_nyengedi_nyengedi","lindirural_nyengedi",14,2011,1,23
"lindirural_nyengedi_nyengedib","lindirural_nyengedi",14,2011,1,16
"lindirural_pangatena_hingawali","lindirural_pangatena",14,2011,1,66
"lindirural_pangatena_njonjo","lindirural_pangatena",14,2011,1,11
"lindirural_pangatena_pangatena","lindirural_pangatena",14,2011,1,15
"lindirural_rutamba_chilala","lindirural_rutamba",14,2011,1,3
"lindirural_rutamba_kinyope","lindirural_rutamba",14,2011,1,50
"lindirural_rutamba_michee","lindirural_rutamba",14,2011,1,8
"lindirural_rutamba_rutambayasasa","lindirural_rutamba",14,2011,1,30
"lindirural_rutamba_rutambayazamani","lindirural_rutamba",14,2011,1,14
"lindirural_sudi_madangwa","lindirural_sudi",14,2011,1,19
"lindiurban_chikonji_chikonji","lindiurban_chikonji",14,2011,1,10
"lindiurban_chikonji_chikonjikaskazini","lindiurban_chikonji",14,2011,1,25
"lindiurban_chikonji_jangwani","lindiurban_chikonji",14,2011,1,25
"lindiurban_chikonji_nanyanje","lindiurban_chikonji",14,2011,1,15
"lindiurban_jamhuri_kanisa","lindiurban_jamhuri",14,2011,1,1
"lindiurban_jamhuri_kiduni","lindiurban_jamhuri",14,2011,1,19
"lindiurban_jamhuri_mitumbati","lindiurban_jamhuri",14,2011,1,2
"lindiurban_jamhuri_mtange","lindiurban_jamhuri",14,2011,1,18
"lindiurban_jamhuri_tulieni","lindiurban_jamhuri",14,2011,1,6
"lindiurban_matopeni_matopeni","lindiurban_matopeni",14,2011,1,110
"lindiurban_mbanja_kikwetu","lindiurban_mbanja",14,2011,1,21
"lindiurban_mbanja_likongo","lindiurban_mbanja",14,2011,1,12
"lindiurban_mbanja_mbanja","lindiurban_mbanja",14,2011,1,8
"lindiurban_mingoyo_mawasiliano","lindiurban_mingoyo",14,2011,1,38
"lindiurban_mingoyo_mingoyo","lindiurban_mingoyo",14,2011,1,4
"lindiurban_mingoyo_mkwaya","lindiurban_mingoyo",14,2011,1,45
"lindiurban_mingoyo_mnazimmoja","lindiurban_mingoyo",14,2011,1,39
"lindiurban_mingoyo_ruaha","lindiurban_mingoyo",14,2011,1,65
"lindiurban_mitandi_idahoti","lindiurban_mitandi",14,2011,1,3
"lindiurban_msinjahili_kitumbikwela","lindiurban_msinjahili",14,2011,1,39
"lindiurban_msinjahili_kitunda","lindiurban_msinjahili",14,2011,1,20
"lindiurban_msinjahili_nachingwea","lindiurban_msinjahili",14,2011,1,34
"lindiurban_mtanda_mchochoro","lindiurban_mtanda",14,2011,1,50
"lindiurban_mtanda_mtandachini","lindiurban_mtanda",14,2011,1,13
"lindiurban_mtanda_mtandajuu","lindiurban_mtanda",14,2011,1,45
"lindiurban_mtanda_mukule","lindiurban_mtanda",14,2011,1,6
"lindiurban_mtanda_nanembo","lindiurban_mtanda",14,2011,1,27
"lindiurban_mwenge_kilimahewa","lindiurban_mwenge",14,2011,1,11
"lindiurban_mwenge_mwenge","lindiurban_mwenge",14,2011,1,23
"lindiurban_nachingwea_nachingwea","lindiurban_nachingwea",14,2011,1,5
"lindiurban_ndoro_ndorojuu","lindiurban_ndoro",14,2011,1,23
"lindiurban_ngapa_mbuyuni","lindiurban_ngapa",14,2011,1,43
"lindiurban_ngapa_mkupama","lindiurban_ngapa",14,2011,1,28
"lindiurban_ngapa_ngapangapa","lindiurban_ngapa",14,2011,1,51
"lindiurban_rasbura_kariakoo","lindiurban_rasbura",14,2011,1,22
"lindiurban_rasbura_likotwa","lindiurban_rasbura",14,2011,1,33
"lindiurban_rasbura_mitema","lindiurban_rasbura",14,2011,1,12
"lindiurban_rasbura_mitwero","lindiurban_rasbura",14,2011,1,10
"lindiurban_rasbura_mmongo","lindiurban_rasbura",14,2011,1,9
"lindiurban_tandangongoro_mkanga","lindiurban_tandangongoro",14,2011,1,45
"lindiurban_tandangongoro_nandambi","lindiurban_tandangongoro",14,2011,1,12
"lindiurban_tandangongoro_narunyu","lindiurban_tandangongoro",14,2011,1,23
"lindiurban_tandangongoro_tandangongoro","lindiurban_tandangongoro",14,2011,1,25
"liwale_barikiwa_barikiwa","liwale_barikiwa",14,2011,1,12
"liwale_kiangara_kiangara","liwale_kiangara",14,2011,1,23
"liwale_kiangara_mtawatawa","liwale_kiangara",14,2011,1,4
"liwale_kibutuka_kibutuka","liwale_kibutuka",14,2011,1,18
"liwale_kibutuka_ngumbu","liwale_kibutuka",14,2011,1,9
"liwale_kichonda_kichonda","liwale_kichonda",14,2011,1,11
"liwale_kichonda_mbuli","liwale_kichonda",14,2011,1,3
"liwale_kichonda_nyera","liwale_kichonda",14,2011,1,4
"liwale_kimambi_kimambi","liwale_kimambi",14,2011,1,1
"liwale_likongowele_likongowele","liwale_likongowele",14,2011,1,13
"liwale_lilombe_chigugu","liwale_lilombe",14,2011,1,1
"liwale_lilombe_lilombe","liwale_lilombe",14,2011,1,16
"liwale_lilombe_luwele","liwale_lilombe",14,2011,1,7
"liwale_liwaleb_liwaleb","liwale_liwaleb",14,2011,1,35
"liwale_liwaleb_mahonga","liwale_liwaleb",14,2011,1,9
"liwale_liwaleb_mikunya","liwale_liwaleb",14,2011,1,8
"liwale_liwaleb_tuungane","liwale_liwaleb",14,2011,1,9
"liwale_liwalemjini_kilipwike","liwale_liwalemjini",14,2011,1,4
"liwale_liwalemjini_makonjiganga","liwale_liwalemjini",14,2011,1,9
"liwale_liwalemjini_mpirani","liwale_liwalemjini",14,2011,1,1
"liwale_liwalemjini_mungurumo","liwale_liwalemjini",14,2011,1,25
"liwale_liwalemjini_naluleo","liwale_liwalemjini",14,2011,1,15
"liwale_makata_makata","liwale_makata",14,2011,1,15
"liwale_makata_mpengere","liwale_makata",14,2011,1,9
"liwale_mangirikiti_mangirikiti","liwale_mangirikiti",14,2011,1,32
"liwale_mbaya_mbaya","liwale_mbaya",14,2011,1,3
"liwale_mihumo_darajani","liwale_mihumo",14,2011,1,20
"liwale_mihumo_likombora","liwale_mihumo",14,2011,1,31
"liwale_mihumo_mihumo","liwale_mihumo",14,2011,1,9
"liwale_mirui_kipelele","liwale_mirui",14,2011,1,14
"liwale_mirui_mirui","liwale_mirui",14,2011,1,3
"liwale_mkutano_mkutano","liwale_mkutano",14,2011,1,3
"liwale_mlembwe_mlembwe","liwale_mlembwe",14,2011,1,49
"liwale_mpigamiti_mpigamiti","liwale_mpigamiti",14,2011,1,18
"liwale_mpigamiti_namakololo","liwale_mpigamiti",14,2011,1,14
"liwale_nangando_nangando","liwale_nangando",14,2011,1,38
"liwale_nangano_nahoro","liwale_nangano",14,2011,1,23
"liwale_ngongowele_mikuyu","liwale_ngongowele",14,2011,1,14
"liwale_ngongowele_ngongowele","liwale_ngongowele",14,2011,1,2
"liwale_ngongowele_ngunja","liwale_ngongowele",14,2011,1,16
"masasi_chigugu_chigugu","masasi_chigugu",14,2011,1,4
"masasi_chiungutwa_maugura","masasi_chiungutwa",14,2011,1,8
"masasi_chiwale_lilala","masasi_chiwale",14,2011,1,1
"masasi_chiwale_nanyindwa","masasi_chiwale",14,2011,1,21
"masasi_lukuledi_chikunja","masasi_lukuledi",14,2011,1,21
"masasi_mbuyuni_mbuyuni","masasi_mbuyuni",14,2011,1,84
"masasi_mchauru_mchauru","masasi_mchauru",14,2011,1,7
"masasi_mchauru_mwitika","masasi_mchauru",14,2011,1,36
"masasi_mchauru_rivango","masasi_mchauru",14,2011,1,6
"masasi_mkululu_mbugo","masasi_mkululu",14,2011,1,19
"masasi_mkululu_mkululu","masasi_mkululu",14,2011,1,10
"masasi_mlingula_masiku","masasi_mlingula",14,2011,1,9
"masasi_mpanyani_mihima","masasi_mpanyani",14,2011,1,53
"masasi_mpanyani_mpanyani","masasi_mpanyani",14,2011,1,58
"masasi_mpanyani_nambawala","masasi_mpanyani",14,2011,1,45
"masasi_mwena_chikundi","masasi_mwena",14,2011,1,74
"masasi_namajani_migombani","masasi_namajani",14,2011,1,5
"masasi_namajani_namajani","masasi_namajani",14,2011,1,13
"masasi_namalenga_namalenga","masasi_namalenga",14,2011,1,24
"masasi_namatutwe_namatutwe","masasi_namatutwe",14,2011,1,11
"masasi_nanjota_nanjota","masasi_nanjota",14,2011,1,37
"masasitownshipauthority_mkomaindo_mkadaendaa","masasitownshipauthority_mkomaindo",14,2011,1,35
"masasitownshipauthority_mkuti_mtaawamkutikati","masasitownshipauthority_mkuti",14,2011,1,50
"masasitownshipauthority_mtandi_mtandia","masasitownshipauthority_mtandi",14,2011,1,50
"masasitownshipauthority_mwengemtapika_mwengemtapika","masasitownshipauthority_mwengemtapika",14,2011,1,19
"masasitownshipauthority_nyasa_mtaawanyasaa","masasitownshipauthority_nyasa",14,2011,1,42
"masasitownshipauthority_sululu_sululu","masasitownshipauthority_sululu",14,2011,1,26
"masasitownshipauthority_temeke_mkarango","masasitownshipauthority_temeke",14,2011,1,42
"mtwararural_chawi_chawi","mtwararural_chawi",14,2011,1,22
"mtwararural_dihimba_dihimba","mtwararural_dihimba",14,2011,1,11
"mtwararural_dihimba_mpondomo","mtwararural_dihimba",14,2011,1,14
"mtwararural_kiromba_kiromba","mtwararural_kiromba",14,2011,1,5
"mtwararural_kitaya_kitaya","mtwararural_kitaya",14,2011,1,7
"mtwararural_kitere_chekeleni","mtwararural_kitere",14,2011,1,4
"mtwararural_kitere_lilido","mtwararural_kitere",14,2011,1,28
"mtwararural_kiyanga_mkahara","mtwararural_kiyanga",14,2011,1,14
"mtwararural_kiyanga_mnongodi","mtwararural_kiyanga",14,2011,1,7
"mtwararural_libobe_libobeb","mtwararural_libobe",14,2011,1,19
"mtwararural_mahurunga_mahurunga","mtwararural_mahurunga",14,2011,1,19
"mtwararural_mayanga_msijute","mtwararural_mayanga",14,2011,1,16
"mtwararural_mbembaleo_mbembaleo","mtwararural_mbembaleo",14,2011,1,28
"mtwararural_milangominne_milangominne","mtwararural_milangominne",14,2011,1,5
"mtwararural_milangominne_mnyawibarabarani","mtwararural_milangominne",14,2011,1,8
"mtwararural_mnima_kilimahewa","mtwararural_mnima",14,2011,1,19
"mtwararural_mpapura_mpapura","mtwararural_mpapura",14,2011,1,15
"mtwararural_msangamkuu_msangamkuu","mtwararural_msangamkuu",14,2011,1,5
"mtwararural_mtimbwilimbwi_mtimbwilimbwi","mtwararural_mtimbwilimbwi",14,2011,1,19
"mtwararural_mtiniko_mtiniko","mtwararural_mtiniko",14,2011,1,16
"mtwararural_namtumbuka_kiwengulo","mtwararural_namtumbuka",14,2011,1,4
"mtwararural_nanguruwe_nanguruwe","mtwararural_nanguruwe",14,2011,1,15
"mtwararural_nanyamba_nanyamba","mtwararural_nanyamba",14,2011,1,17
"mtwararural_naumbu_majengo","mtwararural_naumbu",14,2011,1,10
"mtwararural_ndumbwe_ndumbwe","mtwararural_ndumbwe",14,2011,1,50
"mtwararural_njengwa_chiwindi","mtwararural_njengwa",14,2011,1,14
"mtwararural_njengwa_njengwa","mtwararural_njengwa",14,2011,1,39
"mtwararural_njengwa_ziwanijuu","mtwararural_njengwa",14,2011,1,34
"mtwararural_tangazo_kilambo","mtwararural_tangazo",14,2011,1,11
"mtwararural_tangazo_tangazo","mtwararural_tangazo",14,2011,1,10
"nachingwea_chiola_chingunduli","nachingwea_chiola",14,2011,1,10
"nachingwea_chiola_chiola","nachingwea_chiola",14,2011,1,32
"nachingwea_chiola_mtimbo","nachingwea_chiola",14,2011,1,30
"nachingwea_chiola_namauni","nachingwea_chiola",14,2011,1,6
"nachingwea_kiegei_kiegeia","nachingwea_kiegei",14,2011,1,3
"nachingwea_kiegei_kiegeib","nachingwea_kiegei",14,2011,1,4
"nachingwea_kilimanihewa_kilimanihewa","nachingwea_kilimanihewa",14,2011,1,9
"nachingwea_kilimanihewa_mazoezi","nachingwea_kilimanihewa",14,2011,1,17
"nachingwea_kilimanihewa_mtepeche","nachingwea_kilimanihewa",14,2011,1,29
"nachingwea_kilimarondo_kilimarondo","nachingwea_kilimarondo",14,2011,1,20
"nachingwea_kilimarondo_namatunu","nachingwea_kilimarondo",14,2011,1,18
"nachingwea_kiparamnero_kiparamnero","nachingwea_kiparamnero",14,2011,1,71
"nachingwea_kiparamnero_mwandila","nachingwea_kiparamnero",14,2011,1,15
"nachingwea_lionja_ilolo","nachingwea_lionja",14,2011,1,5
"nachingwea_lionja_lionjaa","nachingwea_lionja",14,2011,1,12
"nachingwea_lionja_lionjab","nachingwea_lionja",14,2011,1,22
"nachingwea_lionja_lipuyu","nachingwea_lionja",14,2011,1,17
"nachingwea_lionja_ngunichile","nachingwea_lionja",14,2011,1,18
"nachingwea_marambo_ikungu","nachingwea_marambo",14,2011,1,37
"nachingwea_marambo_litula","nachingwea_marambo",14,2011,1,6
"nachingwea_marambo_marambo","nachingwea_marambo",14,2011,1,43
"nachingwea_marambo_mituguru","nachingwea_marambo",14,2011,1,44
"nachingwea_marambo_rupota","nachingwea_marambo",14,2011,1,30
"nachingwea_matekwe_majonanga","nachingwea_matekwe",14,2011,1,11
"nachingwea_matekwe_matekwe","nachingwea_matekwe",14,2011,1,14
"nachingwea_mbondo_chimbendenga","nachingwea_mbondo",14,2011,1,12
"nachingwea_mbondo_mbondo","nachingwea_mbondo",14,2011,1,39
"nachingwea_mbondo_nahimba","nachingwea_mbondo",14,2011,1,10
"nachingwea_mbondo_nakalonji","nachingwea_mbondo",14,2011,1,3
"nachingwea_mkoka_mkoka","nachingwea_mkoka",14,2011,1,11
"nachingwea_mkoka_nandile","nachingwea_mkoka",14,2011,1,8
"nachingwea_mkoka_narungombe","nachingwea_mkoka",14,2011,1,26
"nachingwea_mkoka_rweje","nachingwea_mkoka",14,2011,1,16
"nachingwea_mkotokuyana_mandai","nachingwea_mkotokuyana",14,2011,1,23
"nachingwea_mneromiembeni_mkonjela","nachingwea_mneromiembeni",14,2011,1,19
"nachingwea_mneromiembeni_mneromiembeni","nachingwea_mneromiembeni",14,2011,1,9
"nachingwea_mneromiembeni_namkula","nachingwea_mneromiembeni",14,2011,1,20
"nachingwea_mneromiembeni_ntila","nachingwea_mneromiembeni",14,2011,1,44
"nachingwea_mnerongongo_kimawe","nachingwea_mnerongongo",14,2011,1,23
"nachingwea_mnerongongo_kitandi","nachingwea_mnerongongo",14,2011,1,18
"nachingwea_mnerongongo_mnerongongo","nachingwea_mnerongongo",14,2011,1,74
"nachingwea_mnerongongo_mpute","nachingwea_mnerongongo",14,2011,1,11
"nachingwea_mpiruka_mkumba","nachingwea_mpiruka",14,2011,1,48
"nachingwea_mpiruka_mpiruka","nachingwea_mpiruka",14,2011,1,58
"nachingwea_mtua_kiparamtua","nachingwea_mtua",14,2011,1,41
"nachingwea_mtua_mtua","nachingwea_mtua",14,2011,1,32
"nachingwea_mtua_nalengwe","nachingwea_mtua",14,2011,1,17
"nachingwea_mtua_nammanga","nachingwea_mtua",14,2011,1,21
"nachingwea_naipanga_chiumbatishuleni","nachingwea_naipanga",14,2011,1,8
"nachingwea_naipanga_chiwindi","nachingwea_naipanga",14,2011,1,19
"nachingwea_naipanga_naipanga","nachingwea_naipanga",14,2011,1,2
"nachingwea_naipingo_kihuwe","nachingwea_naipingo",14,2011,1,21
"nachingwea_naipingo_kwakamkamba","nachingwea_naipingo",14,2011,1,35
"nachingwea_naipingo_mchangani","nachingwea_naipingo",14,2011,1,41
"nachingwea_naipingo_mchonda","nachingwea_naipingo",14,2011,1,32
"nachingwea_naipingo_mkukwe","nachingwea_naipingo",14,2011,1,1
"nachingwea_naipingo_naipingo","nachingwea_naipingo",14,2011,1,37
"nachingwea_naipingo_namatumbusi","nachingwea_naipingo",14,2011,1,35
"nachingwea_naipingo_nangondo","nachingwea_naipingo",14,2011,1,13
"nachingwea_namapwia_likongowele","nachingwea_namapwia",14,2011,1,25
"nachingwea_namapwia_mbute","nachingwea_namapwia",14,2011,1,26
"nachingwea_namapwia_namapwia","nachingwea_namapwia",14,2011,1,7
"nachingwea_nambambo_nachingwea","nachingwea_nambambo",14,2011,1,32
"nachingwea_nambambo_rahaleo","nachingwea_nambambo",14,2011,1,10
"nachingwea_namikango_namikangoa","nachingwea_namikango",14,2011,1,10
"nachingwea_namikango_namikangob","nachingwea_namikango",14,2011,1,3
"nachingwea_namikango_nangunde","nachingwea_namikango",14,2011,1,41
"nachingwea_nangowe_matankini","nachingwea_nangowe",14,2011,1,3
"nachingwea_nangowe_maziwa","nachingwea_nangowe",14,2011,1,18
"nachingwea_nangowe_mitumbati","nachingwea_nangowe",14,2011,1,71
"nachingwea_nangowe_mwenge","nachingwea_nangowe",14,2011,1,34
"nachingwea_nangowe_nangowe","nachingwea_nangowe",14,2011,1,3
"nachingwea_nditi_namanja","nachingwea_nditi",14,2011,1,12
"nachingwea_nditi_nditi","nachingwea_nditi",14,2011,1,26
"nachingwea_nditi_ngangambo","nachingwea_nditi",14,2011,1,40
"nachingwea_nditi_nyambia","nachingwea_nditi",14,2011,1,13
"nachingwea_nditi_nyambib","nachingwea_nditi",14,2011,1,14
"nachingwea_ndomoni_mkurupilo","nachingwea_ndomoni",14,2011,1,16
"nachingwea_ndomoni_ndomoni","nachingwea_ndomoni",14,2011,1,17
