"DWV","DW","round","Dogs.with.collars","Dogs.without.collars","month_vax","year_vax","Dogs_vax"
"kilwa_likawage_liwiti","kilwa_likawage",4,3,0,69,2015,5
"kilwa_likawage_nainokwe","kilwa_likawage",3,2,3,55,2014,22
"kilwa_mandawa_hotelitatu","kilwa_mandawa",3,5,6,55,2014,13
"kilwa_mandawa_hotelitatu","kilwa_mandawa",4,1,1,69,2015,16
"kilwa_mandawa_kiwawa","kilwa_mandawa",3,0,0,55,2014,1
"kilwa_mandawa_kiwawa","kilwa_mandawa",4,4,4,69,2015,34
"kilwa_mandawa_mandawa","kilwa_mandawa",3,3,2,55,2014,32
"kilwa_mandawa_mandawa","kilwa_mandawa",4,8,4,69,2015,35
"kilwa_mandawa_mandawa","kilwa_mandawa",5,8,4,83,2016,59
"kilwa_mandawa_mavuji","kilwa_mandawa",3,0,0,55,2014,5
"kilwa_mandawa_mavuji","kilwa_mandawa",4,5,1,69,2015,46
"kilwa_mandawa_mavuji","kilwa_mandawa",5,7,1,83,2016,84
"kilwa_mandawa_mchakama","kilwa_mandawa",3,4,4,55,2014,9
"kilwa_mandawa_mkondaji","kilwa_mandawa",4,4,0,69,2015,2
"kilwa_masoko_kisangi","kilwa_masoko",5,8,2,83,2016,15
"kilwa_masoko_kisiwani","kilwa_masoko",3,0,0,55,2014,3
"kilwa_masoko_kisiwani","kilwa_masoko",5,4,8,83,2016,2
"kilwa_masoko_masoko","kilwa_masoko",3,5,8,55,2014,41
"kilwa_masoko_masoko","kilwa_masoko",5,15,12,83,2016,23
"kilwa_masoko_mchomolo","kilwa_masoko",5,9,1,NA,NA,NA
"kilwa_masoko_mkwanyule","kilwa_masoko",3,2,1,55,2014,14
"kilwa_masoko_mkwanyule","kilwa_masoko",5,7,10,83,2016,10
"kilwa_masoko_mnazimmo","kilwa_masoko",3,3,2,55,2014,20
"kilwa_masoko_mpara","kilwa_masoko",5,5,6,83,2016,6
"kilwa_miguruwe_miguruwe","kilwa_miguruwe",3,5,6,55,2014,13
"kilwa_miguruwe_miguruwe","kilwa_miguruwe",5,9,3,83,2016,10
"kilwa_miguruwe_mtepera","kilwa_miguruwe",3,5,3,55,2014,18
"kilwa_miguruwe_mtepera","kilwa_miguruwe",5,6,2,83,2016,10
"kilwa_miguruwe_nakingombe","kilwa_miguruwe",3,6,1,55,2014,12
"kilwa_miguruwe_nakingombe","kilwa_miguruwe",5,2,0,83,2016,20
"kilwa_miguruwe_zingakibaoni","kilwa_miguruwe",3,3,0,55,2014,17
"kilwa_mingumbi_chapita","kilwa_mingumbi",3,3,2,55,2014,23
"kilwa_mingumbi_chapita","kilwa_mingumbi",4,3,1,69,2015,21
"kilwa_mingumbi_chapita","kilwa_mingumbi",5,4,2,83,2016,6
"kilwa_mingumbi_kililima","kilwa_mingumbi",3,1,2,55,2014,21
"kilwa_mingumbi_kililima","kilwa_mingumbi",4,3,1,69,2015,14
"kilwa_mingumbi_kililima","kilwa_mingumbi",5,8,2,83,2016,23
"kilwa_mingumbi_mingumbi","kilwa_mingumbi",3,5,2,55,2014,14
"kilwa_mingumbi_mingumbi","kilwa_mingumbi",4,2,1,69,2015,12
"kilwa_mingumbi_mingumbi","kilwa_mingumbi",5,7,1,83,2016,31
"kilwa_mingumbi_nambondo","kilwa_mingumbi",3,7,1,55,2014,17
"kilwa_mingumbi_nambondo","kilwa_mingumbi",4,4,1,69,2015,16
"kilwa_mingumbi_nambondo","kilwa_mingumbi",5,8,2,83,2016,7
"kilwa_mingumbi_nampunga","kilwa_mingumbi",3,2,0,55,2014,32
"kilwa_mingumbi_nampunga","kilwa_mingumbi",4,0,1,69,2015,4
"kilwa_mingumbi_nangambi","kilwa_mingumbi",3,3,1,55,2014,18
"kilwa_mingumbi_nangambi","kilwa_mingumbi",4,2,1,69,2015,14
"kilwa_mingumbi_nangambi","kilwa_mingumbi",5,10,0,NA,NA,NA
"kilwa_miteja_miteja","kilwa_miteja",4,4,1,69,2015,116
"kilwa_miteja_mtoni","kilwa_miteja",4,0,1,69,2015,2
"kilwa_miteja_mtukwao","kilwa_miteja",4,1,2,69,2015,4
"kilwa_miteja_tilawandu","kilwa_miteja",4,1,0,69,2015,4
"kilwa_mitole_mitole","kilwa_mitole",3,4,7,55,2014,19
"kilwa_mitole_mitole","kilwa_mitole",4,26,2,69,2015,24
"kilwa_mitole_mitole","kilwa_mitole",5,4,2,83,2016,25
"kilwa_mitole_ngea","kilwa_mitole",5,2,0,83,2016,9
"kilwa_nanjirinji_nakiu","kilwa_nanjirinji",3,5,2,55,2014,34
"kilwa_nanjirinji_nakiu","kilwa_nanjirinji",4,4,5,69,2015,26
"kilwa_nanjirinji_nanjia","kilwa_nanjirinji",3,8,15,55,2014,27
"kilwa_nanjirinji_nanjia","kilwa_nanjirinji",4,4,5,69,2015,8
"kilwa_nanjirinji_nanjirib","kilwa_nanjirinji",3,9,8,55,2014,19
"kilwa_nanjirinji_nanjirib","kilwa_nanjirinji",4,4,0,69,2015,10
"kilwa_njinjo_kipindimbi","kilwa_njinjo",3,1,0,55,2014,15
"kilwa_njinjo_kipindimbi","kilwa_njinjo",5,7,2,83,2016,13
"kilwa_njinjo_kisimamkika","kilwa_njinjo",3,2,1,55,2014,18
"kilwa_njinjo_njinjo","kilwa_njinjo",5,1,1,83,2016,2
"kilwa_pandemikoma_malalani","kilwa_pandemikoma",3,5,12,55,2014,20
"kilwa_pandemikoma_mtitimila","kilwa_pandemikoma",3,4,11,55,2014,10
"kilwa_pandemikoma_nakimweramikoma","kilwa_pandemikoma",3,6,11,55,2014,12
"kilwa_pandemikoma_namwedo","kilwa_pandemikoma",3,7,4,55,2014,16
"kilwa_pandemikoma_nangookiwala","kilwa_pandemikoma",3,4,26,55,2014,42
"kilwa_pandemikoma_pandeploti","kilwa_pandemikoma",3,2,11,55,2014,14
"kilwa_pandemikoma_songomnara","kilwa_pandemikoma",3,1,2,55,2014,18
"kilwa_tingi_mtandango","kilwa_tingi",5,25,1,83,2016,80
"kilwa_tingi_njianne","kilwa_tingi",3,6,4,55,2014,29
"kilwa_tingi_njianne","kilwa_tingi",5,15,8,83,2016,28
"kilwa_tingi_tingi","kilwa_tingi",5,16,3,83,2016,50
"lindirural_chiponda_chiodyaa","lindirural_chiponda",3,6,12,54,2014,6
"lindirural_chiponda_chiodyaa","lindirural_chiponda",4,3,2,69,2015,9
"lindirural_chiponda_chiodyaa","lindirural_chiponda",5,3,0,83,2016,19
"lindirural_chiponda_chiodyab","lindirural_chiponda",3,8,4,54,2014,12
"lindirural_chiponda_chiodyab","lindirural_chiponda",4,5,2,69,2015,10
"lindirural_chiponda_chiodyab","lindirural_chiponda",5,2,1,NA,NA,NA
"lindirural_chiponda_chiponda","lindirural_chiponda",3,3,0,54,2014,10
"lindirural_chiponda_chiponda","lindirural_chiponda",4,2,0,69,2015,14
"lindirural_chiponda_chiponda","lindirural_chiponda",5,2,0,83,2016,24
"lindirural_chiponda_mwangu","lindirural_chiponda",3,3,9,54,2014,9
"lindirural_chiponda_mwangu","lindirural_chiponda",4,4,4,69,2015,15
"lindirural_chiponda_mwangu","lindirural_chiponda",5,1,0,83,2016,15
"lindirural_chiponda_ntauna","lindirural_chiponda",3,19,5,54,2014,28
"lindirural_chiponda_ntauna","lindirural_chiponda",4,5,0,69,2015,26
"lindirural_chiponda_ntauna","lindirural_chiponda",5,1,1,83,2016,23
"lindirural_kilangala_kilangalaa","lindirural_kilangala",3,1,0,54,2014,7
"lindirural_kilangala_kilangalaa","lindirural_kilangala",4,3,3,69,2015,10
"lindirural_kilangala_kilangalaa","lindirural_kilangala",5,2,1,83,2016,3
"lindirural_kilangala_kilangalab","lindirural_kilangala",3,8,1,54,2014,30
"lindirural_kilangala_kilangalab","lindirural_kilangala",4,2,0,69,2015,21
"lindirural_kilangala_kilangalab","lindirural_kilangala",5,2,10,83,2016,16
"lindirural_kilangala_mnimbila","lindirural_kilangala",3,4,13,54,2014,12
"lindirural_kilangala_mnimbila","lindirural_kilangala",4,4,0,NA,NA,NA
"lindirural_kilangala_mnimbila","lindirural_kilangala",5,5,3,83,2016,12
"lindirural_kilangala_mtumbikile","lindirural_kilangala",3,4,7,54,2014,9
"lindirural_kilangala_mtumbikile","lindirural_kilangala",4,2,0,69,2015,2
"lindirural_kilangala_mtumbikile","lindirural_kilangala",5,7,6,83,2016,9
"lindirural_kilolambwani_dimba","lindirural_kilolambwani",4,3,4,69,2015,22
"lindirural_kilolambwani_dimba","lindirural_kilolambwani",5,3,1,83,2016,19
"lindirural_kilolambwani_kijiweni","lindirural_kilolambwani",4,4,3,69,2015,6
"lindirural_kilolambwani_kijiweni","lindirural_kilolambwani",5,2,2,83,2016,16
"lindirural_kilolambwani_kilolambwani","lindirural_kilolambwani",3,2,0,54,2014,3
"lindirural_kilolambwani_kilolambwani","lindirural_kilolambwani",4,3,3,69,2015,4
"lindirural_kilolambwani_kilolambwani","lindirural_kilolambwani",5,1,0,83,2016,10
"lindirural_kilolambwani_maloo","lindirural_kilolambwani",3,1,1,54,2014,2
"lindirural_kilolambwani_maloo","lindirural_kilolambwani",5,0,0,NA,NA,NA
"lindirural_kilolambwani_mnangole","lindirural_kilolambwani",4,0,3,69,2015,9
"lindirural_kilolambwani_mnangole","lindirural_kilolambwani",5,0,0,83,2016,3
"lindirural_kilolambwani_mvulenia","lindirural_kilolambwani",4,4,4,69,2015,4
"lindirural_kilolambwani_mvulenia","lindirural_kilolambwani",5,0,0,83,2016,5
"lindirural_kilolambwani_mvulenib","lindirural_kilolambwani",4,0,2,69,2015,1
"lindirural_kilolambwani_mvulenib","lindirural_kilolambwani",5,0,0,83,2016,9
"lindirural_kitomanga_kitomanga","lindirural_kitomanga",3,17,12,NA,NA,NA
"lindirural_kitomanga_kitomanga","lindirural_kitomanga",4,7,5,69,2015,70
"lindirural_kitomanga_mkwajuni","lindirural_kitomanga",4,3,4,69,2015,79
"lindirural_kiwalala_kiwalala","lindirural_kiwalala",3,7,1,NA,NA,NA
"lindirural_kiwalala_kiwalala","lindirural_kiwalala",4,0,2,69,2015,10
"lindirural_kiwalala_kiwalala","lindirural_kiwalala",5,0,3,NA,NA,NA
"lindirural_kiwalala_mahumbika","lindirural_kiwalala",3,3,1,NA,NA,NA
"lindirural_kiwalala_mahumbika","lindirural_kiwalala",4,0,2,69,2015,12
"lindirural_kiwalala_mahumbika","lindirural_kiwalala",5,4,3,83,2016,17
"lindirural_kiwalala_mandawa","lindirural_kiwalala",3,5,2,NA,NA,NA
"lindirural_kiwalala_mandawa","lindirural_kiwalala",4,0,4,69,2015,11
"lindirural_kiwalala_mandawa","lindirural_kiwalala",5,0,2,NA,NA,NA
"lindirural_kiwalala_mmangawanga","lindirural_kiwalala",3,5,1,NA,NA,NA
"lindirural_kiwalala_mmangawanga","lindirural_kiwalala",4,0,0,69,2015,12
"lindirural_kiwalala_mmangawanga","lindirural_kiwalala",5,0,2,NA,NA,NA
"lindirural_kiwalala_mpembe","lindirural_kiwalala",3,2,0,NA,NA,NA
"lindirural_kiwalala_mpembe","lindirural_kiwalala",4,0,3,69,2015,14
"lindirural_kiwalala_mpembe","lindirural_kiwalala",5,2,3,83,2016,14
"lindirural_kiwalala_narunyu","lindirural_kiwalala",3,5,1,NA,NA,NA
"lindirural_kiwalala_narunyu","lindirural_kiwalala",4,0,0,69,2015,11
"lindirural_kiwalala_narunyu","lindirural_kiwalala",5,0,1,NA,NA,NA
"lindirural_kiwalala_ruo","lindirural_kiwalala",3,3,1,NA,NA,NA
"lindirural_kiwalala_ruo","lindirural_kiwalala",4,0,4,69,2015,10
"lindirural_kiwalala_ruo","lindirural_kiwalala",5,0,1,83,2016,5
"lindirural_kiwawa_kiwawa","lindirural_kiwawa",4,16,7,69,2015,40
"lindirural_kiwawa_kiwawa","lindirural_kiwawa",5,2,1,83,2016,23
"lindirural_kiwawa_mputwa","lindirural_kiwawa",3,8,3,54,2014,14
"lindirural_kiwawa_mputwa","lindirural_kiwawa",4,8,3,69,2015,9
"lindirural_kiwawa_mputwa","lindirural_kiwawa",5,1,1,83,2016,14
"lindirural_longa_longa","lindirural_longa",4,9,0,69,2015,19
"lindirural_longa_narwadi","lindirural_longa",4,7,0,69,2015,9
"lindirural_longa_narwadi","lindirural_longa",5,4,8,83,2016,5
"lindirural_longa_tulieni","lindirural_longa",4,6,0,69,2015,5
"lindirural_longa_tulieni","lindirural_longa",5,21,11,83,2016,24
"lindirural_majengo_majengoa","lindirural_majengo",3,1,0,54,2014,22
"lindirural_majengo_majengoa","lindirural_majengo",4,3,0,69,2015,12
"lindirural_majengo_majengob","lindirural_majengo",3,0,0,NA,NA,NA
"lindirural_majengo_majengob","lindirural_majengo",4,3,2,69,2015,14
"lindirural_majengo_majengob","lindirural_majengo",5,1,0,83,2016,4
"lindirural_majengo_masasi","lindirural_majengo",3,5,6,NA,NA,NA
"lindirural_majengo_masasi","lindirural_majengo",4,3,0,69,2015,5
"lindirural_majengo_masasi","lindirural_majengo",5,0,0,83,2016,4
"lindirural_majengo_mbalala","lindirural_majengo",4,7,2,69,2015,6
"lindirural_majengo_mbalala","lindirural_majengo",5,4,0,83,2016,24
"lindirural_majengo_mkwajuni","lindirural_majengo",5,3,2,83,2016,11
"lindirural_majengo_nangaka","lindirural_majengo",3,1,0,54,2014,17
"lindirural_majengo_nangaka","lindirural_majengo",4,2,0,69,2015,8
"lindirural_majengo_nangaka","lindirural_majengo",5,1,0,83,2016,3
"lindirural_mandwanga_chiuta","lindirural_mandwanga",5,9,0,83,2016,14
"lindirural_mandwanga_lindwandwali","lindirural_mandwanga",3,10,8,54,2014,10
"lindirural_mandwanga_lindwandwali","lindirural_mandwanga",4,0,3,69,2015,2
"lindirural_mandwanga_lindwandwali","lindirural_mandwanga",5,0,3,83,2016,14
"lindirural_mandwanga_malungo","lindirural_mandwanga",3,7,3,54,2014,7
"lindirural_mandwanga_malungo","lindirural_mandwanga",4,3,0,69,2015,12
"lindirural_mandwanga_malungo","lindirural_mandwanga",5,2,6,83,2016,3
"lindirural_mandwanga_mandwanga","lindirural_mandwanga",3,5,3,54,2014,5
"lindirural_mandwanga_mandwanga","lindirural_mandwanga",4,2,0,69,2015,5
"lindirural_mandwanga_mandwanga","lindirural_mandwanga",5,5,0,83,2016,4
"lindirural_mandwanga_mikongi","lindirural_mandwanga",4,0,0,69,2015,1
"lindirural_mandwanga_mikongi","lindirural_mandwanga",5,4,0,83,2016,5
"lindirural_mandwanga_nambahu","lindirural_mandwanga",3,1,3,54,2014,1
"lindirural_mandwanga_nambahu","lindirural_mandwanga",5,2,0,83,2016,3
"lindirural_mandwanga_nyundoi","lindirural_mandwanga",5,2,0,83,2016,5
"lindirural_matimba_kikomolela","lindirural_matimba",4,2,0,69,2015,10
"lindirural_matimba_kikomolela","lindirural_matimba",5,12,16,83,2016,25
"lindirural_matimba_komolo","lindirural_matimba",4,0,0,69,2015,5
"lindirural_matimba_komolo","lindirural_matimba",5,9,10,83,2016,10
"lindirural_matimba_likwaya","lindirural_matimba",3,18,10,NA,NA,NA
"lindirural_matimba_likwaya","lindirural_matimba",4,2,2,69,2015,10
"lindirural_matimba_likwaya","lindirural_matimba",5,7,14,83,2016,13
"lindirural_matimba_matimba","lindirural_matimba",3,14,11,NA,NA,NA
"lindirural_matimba_matimba","lindirural_matimba",4,0,2,69,2015,4
"lindirural_matimba_matimba","lindirural_matimba",5,6,7,83,2016,10
"lindirural_matimba_moka","lindirural_matimba",3,11,7,NA,NA,NA
"lindirural_matimba_moka","lindirural_matimba",4,2,3,69,2015,9
"lindirural_matimba_moka","lindirural_matimba",5,4,5,83,2016,4
"lindirural_mchinga_mchanganii","lindirural_mchinga",4,5,3,69,2015,15
"lindirural_mchinga_mchingaii","lindirural_mchinga",4,4,2,69,2015,13
"lindirural_mchinga_mchingaii","lindirural_mchinga",5,5,2,83,2016,32
"lindirural_milola_legezamwendo","lindirural_milola",3,3,0,54,2014,8
"lindirural_milola_legezamwendo","lindirural_milola",4,2,0,69,2015,12
"lindirural_milola_legezamwendo","lindirural_milola",5,1,3,83,2016,7
"lindirural_milola_milolaa","lindirural_milola",3,5,22,54,2014,10
"lindirural_milola_milolaa","lindirural_milola",4,2,3,69,2015,30
"lindirural_milola_milolaa","lindirural_milola",5,2,2,83,2016,10
"lindirural_milola_milolab","lindirural_milola",3,0,2,54,2014,23
"lindirural_milola_milolab","lindirural_milola",4,2,4,69,2015,18
"lindirural_milola_milolab","lindirural_milola",5,0,1,83,2016,15
"lindirural_milola_milolamagharibi","lindirural_milola",3,1,2,NA,NA,NA
"lindirural_milola_milolamagharibi","lindirural_milola",4,0,0,69,2015,3
"lindirural_milola_milolamagharibi","lindirural_milola",5,0,1,83,2016,12
"lindirural_milola_mkangaulani","lindirural_milola",3,7,29,54,2014,36
"lindirural_milola_mkangaulani","lindirural_milola",4,0,2,69,2015,26
"lindirural_milola_mkangaulani","lindirural_milola",5,1,2,83,2016,14
"lindirural_milola_namtamba","lindirural_milola",4,0,2,69,2015,4
"lindirural_milola_namtamba","lindirural_milola",5,2,1,83,2016,9
"lindirural_milola_ruchemi","lindirural_milola",4,2,2,69,2015,10
"lindirural_milola_ruchemi","lindirural_milola",5,2,3,83,2016,18
"lindirural_mipingo_lihimilo","lindirural_mipingo",3,3,0,54,2014,10
"lindirural_mipingo_lihimilo","lindirural_mipingo",4,4,6,69,2015,12
"lindirural_mipingo_lihimilo","lindirural_mipingo",5,2,2,83,2016,9
"lindirural_mipingo_matapwa","lindirural_mipingo",4,0,1,69,2015,15
"lindirural_mipingo_matapwa","lindirural_mipingo",5,3,1,83,2016,11
"lindirural_mipingo_mipingo","lindirural_mipingo",3,0,0,54,2014,16
"lindirural_mipingo_mipingo","lindirural_mipingo",4,0,0,69,2015,22
"lindirural_mipingo_mipingo","lindirural_mipingo",5,4,3,83,2016,12
"lindirural_mipingo_mnyangara","lindirural_mipingo",3,2,1,54,2014,10
"lindirural_mipingo_mnyangara","lindirural_mipingo",4,4,2,69,2015,24
"lindirural_mipingo_mnyangara","lindirural_mipingo",5,6,1,83,2016,15
"lindirural_mipingo_namkongo","lindirural_mipingo",3,7,2,54,2014,20
"lindirural_mipingo_namkongo","lindirural_mipingo",4,3,5,69,2015,20
"lindirural_mipingo_namkongo","lindirural_mipingo",5,12,0,83,2016,23
"lindirural_mnara_chikombe","lindirural_mnara",4,7,0,69,2015,13
"lindirural_mnara_chikombe","lindirural_mnara",5,0,0,83,2016,8
"lindirural_mnara_liganga","lindirural_mnara",3,9,4,54,2014,22
"lindirural_mnara_liganga","lindirural_mnara",4,9,0,69,2015,27
"lindirural_mnara_liganga","lindirural_mnara",5,9,3,83,2016,28
"lindirural_mnara_mkangaii","lindirural_mnara",4,4,3,69,2015,24
"lindirural_mnara_mkangaii","lindirural_mnara",5,0,3,83,2016,12
"lindirural_mnara_mnara","lindirural_mnara",3,7,19,54,2014,8
"lindirural_mnara_mnara","lindirural_mnara",4,5,3,69,2015,16
"lindirural_mnara_mnara","lindirural_mnara",5,8,5,83,2016,22
"lindirural_mnara_mtakuja","lindirural_mnara",3,7,22,54,2014,10
"lindirural_mnara_mtakuja","lindirural_mnara",4,3,4,69,2015,7
"lindirural_mnara_mtakuja","lindirural_mnara",5,3,3,83,2016,10
"lindirural_mnara_ntene","lindirural_mnara",3,3,10,54,2014,6
"lindirural_mnara_ntene","lindirural_mnara",4,5,0,69,2015,11
"lindirural_mnara_ntene","lindirural_mnara",5,1,3,83,2016,11
"lindirural_mnara_nteneb","lindirural_mnara",3,2,3,54,2014,10
"lindirural_mnara_nteneb","lindirural_mnara",4,4,3,69,2015,8
"lindirural_mnara_nteneb","lindirural_mnara",5,3,3,83,2016,8
"lindirural_mnolela_mbuta","lindirural_mnolela",4,1,1,NA,NA,NA
"lindirural_mnolela_mbuta","lindirural_mnolela",5,5,5,83,2016,11
"lindirural_mnolela_mnolela","lindirural_mnolela",3,9,0,NA,NA,NA
"lindirural_mnolela_mnolela","lindirural_mnolela",4,2,5,69,2015,15
"lindirural_mnolela_mnolela","lindirural_mnolela",5,6,6,83,2016,8
"lindirural_mnolela_namunda","lindirural_mnolela",4,0,0,69,2015,14
"lindirural_mnolela_namunda","lindirural_mnolela",5,3,4,83,2016,12
