"Region","District","Ward","Village","matchDistrict","matchWard","matchVillage","Population"
"Lindi","Kilwa","Mitole","Ngea","Kilwa","Mitole","Ngea",213
"Lindi","Kilwa","Miguruwe","Miguruwe","Kilwa","Miguruwe","Miguruwe",1364
"Lindi","Kilwa","Miguruwe","ZingaKibaoni","Kilwa","Miguruwe","ZingaKibaoni",1234
"Lindi","Kilwa","Miguruwe","Mtepera","Kilwa","Miguruwe","Mtepera",437
"Lindi","Kilwa","Miguruwe","Nakingombe","Kilwa","Miguruwe","Nakingombe",346
"Lindi","Kilwa","Likawage","Liwiti","Kilwa","Likawage","Liwiti",176
"Lindi","Kilwa","Likawage","Likawage","Kilwa","Likawage","Likawage",2976
"Lindi","Kilwa","Likawage","Nainokwe","Kilwa","Likawage","Nainokwe",417
"Lindi","Kilwa","Nanjirinji","Nanjirinji ""A""","Kilwa","Nanjirinji","Nanji A",2803
"Lindi","Kilwa","Nanjirinji","Nanjirinji""B""","Kilwa","Nanjirinji","Nanjiri B",2031
"Lindi","Kilwa","Nanjirinji","Nakiu","Kilwa","Nanjirinji","Nakiu",2657
"Lindi","Kilwa","Kiranjeranje","Kiswale","Kilwa","Kiranjeranje","Kiswele",574
"Lindi","Kilwa","Kiranjeranje","Mbwemkuru","Kilwa","Kiranjeranje","Mbwemkuru",1856
"Lindi","Kilwa","Kiranjeranje","Kiranjeranje","Kilwa","Kiranjeranje","Kiranjeranje",2463
"Lindi","Kilwa","Kiranjeranje","Makangaga","Kilwa","Kiranjeranje","Makangaga",2835
"Lindi","Kilwa","Kiranjeranje","Mtandi","Kilwa","Kiranjeranje","Mtandi",896
"Lindi","Kilwa","Kiranjeranje","Mirumba","Kilwa","Kiranjeranje","Mirumba",1128
"Lindi","Kilwa","Mandawa","Mavuji","Kilwa","Mandawa","Mavuji",2122
"Lindi","Kilwa","Mandawa","Kiwawa","Kilwa","Mandawa","Kiwawa",1771
"Lindi","Kilwa","Mandawa","Mkondaji","Kilwa","Mandawa","Mkondaji",711
"Lindi","Kilwa","Mandawa","Hotelitatu","Kilwa","Mandawa","Hotelitatu",1519
"Lindi","Kilwa","Mandawa","Mandawa","Kilwa","Mandawa","Mandawa",5283
"Lindi","Kilwa","Mandawa","Mchakama","Kilwa","Mandawa","Mchakama",1788
"Lindi","Kilwa","Lihimalyao","Namakongoro","Kilwa","Lihimalyao","Namakongo*",1657
"Lindi","Kilwa","Lihimalyao","Lihimalyao Kaskazini","Kilwa","Lihimalyao","Lihimalyao Kaskazini",2300
"Lindi","Kilwa","Lihimalyao","Lihimalyao Kusini","Kilwa","Lihimalyao","Lihmalyo Kusini",1879
"Lindi","Kilwa","Lihimalyao","Kisongo","Kilwa","Lihimalyao","Kisongo",2434
"Lindi","Kilwa","Lihimalyao","Rushungi","Kilwa","Lihimalyao","Rushungi",1159
"Lindi","Kilwa","Lihimalyao","Ruyaya","Kilwa","Lihimalyao","Ruyaya",1005
"Lindi","Kilwa","Pande Mikoma","Songomnara","Kilwa","Pande Mikoma","Songomnara",530
"Lindi","Kilwa","Pande Mikoma","PandePloti","Kilwa","Pande Mikoma","PandePloti",2906
"Lindi","Kilwa","Pande Mikoma","Namwedo","Kilwa","Pande Mikoma","Namwedo",1244
"Lindi","Kilwa","Pande Mikoma","Nakimweramikoma","Kilwa","Pande Mikoma","Nakimweramikoma",4008
"Lindi","Kilwa","Pande Mikoma","Nang`ookiwala","Kilwa","Pande Mikoma","Nang`ookiwala",1159
"Lindi","Kilwa","Pande Mikoma","Mtitimila","Kilwa","Pande Mikoma","Mtitimila",753
"Lindi","Kilwa","Pande Mikoma","Malalani","Kilwa","Pande Mikoma","Malalani",996
"Lindi","Kilwa","Kikole","Kisangi","Kilwa","Kikole","Kisangi",725
"Lindi","Kilwa","Kikole","Ruhatwe","Kilwa","Kikole","Ruhatwe",979
"Lindi","Kilwa","Kikole","Migeregere","Kilwa","Kikole","Migeregere",1100
"Lindi","Kilwa","Kikole","Kikole","Kilwa","Kikole","Kikole",1490
"Lindi","Kilwa","Kivinjesingino","Mgongeni","Kilwa","Kivinjesingino","Mgongeni",3206
"Lindi","Kilwa","Kivinjesingino","Magengeni","Kilwa","Kivinjesingino","Magengeni",6925
"Lindi","Kilwa","Kivinjesingino","Singino","Kilwa","Kivinjesingino","Singino",2955
"Lindi","Kilwa","Kivinjesingino","Matandu","Kilwa","Kivinjesingino","Matandu",2550
"Lindi","Kilwa","Kivinjesingino","Nangurukuru","Kilwa","Kivinjesingino","Nangurukuru",3739
"Lindi","Kilwa","Songosongo","Songosongo","Kilwa","Songosongo","Songosongo",3026
"Lindi","Kilwa","Masoko","Mpara","Kilwa","Masoko","Mpara",1004
"Lindi","Kilwa","Masoko","Lupedile","Kilwa","Masoko","Lupedile",114
"Lindi","Kilwa","Masoko","Mkwanyule","Kilwa","Masoko","Mkwanyule",760
"Lindi","Kilwa","Masoko","Kisangi","Kilwa","Masoko","Kisangi",379
"Lindi","Kilwa","Masoko","Mchomolo","Kilwa","Masoko","Mchomolo",560
"Lindi","Kilwa","Masoko","Mnazimmoja","Kilwa","Masoko","Mnazi Mmo*",4833
"Lindi","Kilwa","Masoko","Miembemiwili","Kilwa","Masoko","Miembemiwili",1203
"Lindi","Kilwa","Masoko","Masoko","Kilwa","Masoko","Masoko",3936
"Lindi","Kilwa","Masoko","Kisiwani","Kilwa","Masoko","Kisiwani",812
"Lindi","Kilwa","Kibata","Mwengei","Kilwa","Kibata","Mwengei",2568
"Lindi","Kilwa","Kibata","Mtende","Kilwa","Kibata","Mtende",1457
"Lindi","Kilwa","Kibata","Hanga","Kilwa","Kibata","Hanga",2098
"Lindi","Kilwa","Kibata","Kibata","Kilwa","Kibata","Kibata",2608
"Lindi","Lindi Rural","Mipingo","Lihimilo","Lindi Rural","Mipingo","Lihimilo",1108
"Lindi","Lindi Rural","Mipingo","Namkongo","Lindi Rural","Mipingo","Namkongo",1742
"Lindi","Lindi Rural","Mipingo","Matapwa","Lindi Rural","Mipingo","Matapwa",1047
"Lindi","Lindi Rural","Mipingo","Mipingo","Lindi Rural","Mipingo","Mipingo",671
"Lindi","Lindi Rural","Mipingo","Mnyangara","Lindi Rural","Mipingo","Mnyangara",1358
"Lindi","Lindi Rural","Kitomanga","Mkwajuni","Lindi Rural","Kitomanga","Mkwajuni",2259
"Lindi","Lindi Rural","Kitomanga","Kitomanga","Lindi Rural","Kitomanga","Kitomanga",2461
"Lindi","Lindi Rural","Mchinga","Mchinga II","Lindi Rural","Mchinga","Mchinga II",3101
"Lindi","Lindi Rural","Mchinga","Mchinga I","Lindi Rural","Mchinga","Mchangani I",2962
"Lindi","Lindi Rural","Kilolambwani","Kijiweni","Lindi Rural","Kilolambwani","Kijiweni",1405
"Lindi","Lindi Rural","Kilolambwani","Mvuleni""A""","Lindi Rural","Kilolambwani","Mvuleni""A""",1364
"Lindi","Lindi Rural","Kilolambwani","Maloo","Lindi Rural","Kilolambwani","Maloo",384
"Lindi","Lindi Rural","Kilolambwani","Kilolombwani","Lindi Rural","Kilolambwani","Kilolambwani",804
"Lindi","Lindi Rural","Kilolambwani","Mnang'ole","Lindi Rural","Kilolambwani","Mnang'ole",635
"Lindi","Lindi Rural","Kilolambwani","Dimba","Lindi Rural","Kilolambwani","Dimba",723
"Lindi","Lindi Rural","Kilolambwani","Mvuleni""B""","Lindi Rural","Kilolambwani","Mvuleni""B""",972
"Lindi","Lindi Rural","Kilangala","Kilangala""B""","Lindi Rural","Kilangala","Kilangala""B""",2611
"Lindi","Lindi Rural","Kilangala","Mnimbila","Lindi Rural","Kilangala","Mnimbila",1315
"Lindi","Lindi Rural","Kilangala","Mtumbikile","Lindi Rural","Kilangala","Mtumbikile",1251
"Lindi","Lindi Rural","Kilangala","Kilangala""A""","Lindi Rural","Kilangala","Kilangala""A""",1320
"Lindi","Lindi Rural","Kiwalala","Mahumbika","Lindi Rural","Kiwalala","Mahumbika",2489
"Lindi","Lindi Rural","Kiwalala","Ruo","Lindi Rural","Kiwalala","Ruo",2526
"Lindi","Lindi Rural","Kiwalala","Mpembe","Lindi Rural","Kiwalala","Mpembe",1259
"Lindi","Lindi Rural","Kiwalala","Mmangawanga","Lindi Rural","Kiwalala","Mmangawanga",1836
"Lindi","Lindi Rural","Kiwalala","Narunyu","Lindi Rural","Kiwalala","Narunyu",2534
"Lindi","Lindi Rural","Kiwalala","Mandawa","Lindi Rural","Kiwalala","Mandawa",1459
"Lindi","Lindi Rural","Kiwalala","Kiwalala","Lindi Rural","Kiwalala","Kiwalala",1201
"Lindi","Lindi Rural","Navanga","Shuka","Lindi Rural","Navanga","Shuka",928
"Lindi","Lindi Rural","Navanga","Mongomongo","Lindi Rural","Navanga","Mongomongo",526
"Lindi","Lindi Rural","Navanga","Navanga","Lindi Rural","Navanga","Navanga",1718
"Lindi","Lindi Rural","Navanga","Nampunga","Lindi Rural","Navanga","Nampunga",668
"Lindi","Lindi Rural","Mnolela","Simana","Lindi Rural","Mnolela","Simana",2130
"Lindi","Lindi Rural","Mnolela","Zingatia","Lindi Rural","Mnolela","Zingatia",2348
"Lindi","Lindi Rural","Mnolela","Mnolela","Lindi Rural","Mnolela","Mnolela",2006
"Lindi","Lindi Rural","Mnolela","Ruhokwe","Lindi Rural","Mnolela","Ruhokwe",2441
"Lindi","Lindi Rural","Mnolela","Namunda","Lindi Rural","Mnolela","Namunda",1959
"Lindi","Lindi Rural","Mnolela","Mbuta","Lindi Rural","Mnolela","Mbuta",961
"Lindi","Lindi Rural","Sudi","Tipuli","Lindi Rural","Sudi","Sudi",1345
"Lindi","Lindi Rural","Sudi","Mtegu","Lindi Rural","Sudi","Mtegu",1072
"Lindi","Lindi Rural","Sudi","Madangwa","Lindi Rural","Sudi","Madangwa",1986
"Lindi","Lindi Rural","Sudi","Kilimani","Lindi Rural","Sudi","Kilimani",1141
"Lindi","Lindi Rural","Nachunyu","Nachunyu","Lindi Rural","Nachunyu","Nachunyu",5163
"Lindi","Lindi Rural","Nachunyu","Mmumbu","Lindi Rural","Nachunyu","Mmumbu",1550
"Lindi","Lindi Rural","Mtama","Mpenda","Lindi Rural","Mtama","Mpenda",886
"Lindi","Lindi Rural","Mtama","Mihogoni","Lindi Rural","Mtama","Mihogoni",1029
"Lindi","Lindi Rural","Mtama","Makonde","Lindi Rural","Mtama","Makonde",1154
"Lindi","Lindi Rural","Mtama","Mvuleni","Lindi Rural","Mtama","Mvuleni",1329
"Lindi","Lindi Rural","Nyangao","Nyangao""A""","Lindi Rural","Nyangao","Nyangao""A""",4289
"Lindi","Lindi Rural","Nyangao","Mahiwa","Lindi Rural","Nyangao","Mahiwa",1926
"Lindi","Lindi Rural","Nyangao","Nyangao""B""","Lindi Rural","Nyangao","Nyangao""B""",2207
"Lindi","Lindi Rural","Nyangao","Mtakuja II","Lindi Rural","Nyangao","Mtakuja II",1413
"Lindi","Lindi Rural","Namupa","Mihima","Lindi Rural","Namupa","Mihima",1297
"Lindi","Lindi Rural","Namupa","Mndawa","Lindi Rural","Namupa","Mndawa",745
"Lindi","Lindi Rural","Namupa","Mnamba","Lindi Rural","Namupa","Mnamba",1266
"Lindi","Lindi Rural","Namupa","Namupa","Lindi Rural","Namupa","Namupa",1294
"Lindi","Lindi Rural","Namupa","Muungano II","Lindi Rural","Namupa","Muungano II",1166
"Lindi","Lindi Rural","Nyengedi","Luwale","Lindi Rural","Nyengedi","Luwale",464
"Lindi","Lindi Rural","Nyengedi","Nyegedi ""B""","Lindi Rural","Nyengedi","Nyengedi B",2476
"Lindi","Lindi Rural","Nyengedi","Nyegedi","Lindi Rural","Nyengedi","Nyengedi",2450
"Lindi","Lindi Rural","Mtua","Kilimahewa""B""","Lindi Rural","Mtua","Kilimahewa""B""",1276
"Lindi","Lindi Rural","Mtua","Kilimahewa""A""","Lindi Rural","Mtua","Kilimahewa""A""",2285
"Lindi","Lindi Rural","Nahukahuka","Nahukahuka","Lindi Rural","Nahukahuka","Nahukahuka",1431
"Lindi","Lindi Rural","Nahukahuka","Lipome","Lindi Rural","Nahukahuka","Lipome",880
"Lindi","Lindi Rural","Nahukahuka","Mbawala","Lindi Rural","Nahukahuka","Mbawala",776
"Lindi","Lindi Rural","Nahukahuka","Linoha","Lindi Rural","Nahukahuka","Linoha",747
"Lindi","Lindi Rural","Nahukahuka","Nahukahuka""B""","Lindi Rural","Nahukahuka","Nahukahuka""B""",1192
"Lindi","Lindi Rural","Nyangamara","Litupu","Lindi Rural","Nyangamara","Liputi",973
"Lindi","Lindi Rural","Nyangamara","Madingo","Lindi Rural","Nyangamara","Madingo",1454
"Lindi","Lindi Rural","Nyangamara","Nyangamara""B""","Lindi Rural","Nyangamara","Nyangamara""B""",2108
"Lindi","Lindi Rural","Nyangamara","Utimbe","Lindi Rural","Nyangamara","Utimbe",1576
"Lindi","Lindi Rural","Nyangamara","Nyangamara""B""","Lindi Rural","Nyangamara","Nyangamara""B""",1435
"Lindi","Lindi Rural","Mandwanga","Lindwandwali","Lindi Rural","Mandwanga","Lindwandwali",631
"Lindi","Lindi Rural","Mandwanga","Mandwanga","Lindi Rural","Mandwanga","Mandwanga",1398
"Lindi","Lindi Rural","Mandwanga","Chiuta","Lindi Rural","Mandwanga","Chiuta",1147
"Lindi","Lindi Rural","Mandwanga","Malungo","Lindi Rural","Mandwanga","Malungo",1322
"Lindi","Lindi Rural","Mandwanga","Nambahu","Lindi Rural","Mandwanga","Nambahu",1256
"Lindi","Lindi Rural","Mandwanga","Milamba","Lindi Rural","Mandwanga","Milamba",1174
"Lindi","Lindi Rural","Mandwanga","Nyundo I","Lindi Rural","Mandwanga","Nyundo I",804
"Lindi","Lindi Rural","Mandwanga","Mikongi","Lindi Rural","Mandwanga","Mikongi",1495
"Lindi","Lindi Rural","Mnara","Ntene","Lindi Rural","Mnara","Ntene",2251
"Lindi","Lindi Rural","Mnara","Mtakuja","Lindi Rural","Mnara","Mtakuja",1710
"Lindi","Lindi Rural","Mnara","Mnara","Lindi Rural","Mnara","Mnara",1810
"Lindi","Lindi Rural","Mnara","Mkanga II","Lindi Rural","Mnara","Mkanga II",1569
"Lindi","Lindi Rural","Mnara","Chikombe","Lindi Rural","Mnara","Chikombe",674
"Lindi","Lindi Rural","Mnara","Ntene""B""","Lindi Rural","Mnara","Ntene""B""",1586
"Lindi","Lindi Rural","Mnara","Liganga","Lindi Rural","Mnara","Liganga",527
"Lindi","Lindi Rural","Chiponda","Chiponda","Lindi Rural","Chiponda","Chiponda",1604
"Lindi","Lindi Rural","Chiponda","Chiodya""A""","Lindi Rural","Chiponda","Chiodya""A""",1239
"Lindi","Lindi Rural","Chiponda","Ntauna","Lindi Rural","Chiponda","Ntauna",862
"Lindi","Lindi Rural","Chiponda","Namihanga","Lindi Rural","Chiponda","Namihanga",825
"Lindi","Lindi Rural","Chiponda","Mwangu","Lindi Rural","Chiponda","Mwangu",678
"Lindi","Lindi Rural","Chiponda","Chiodya""B""","Lindi Rural","Chiponda","Chiodya""B""",954
"Lindi","Lindi Rural","Pangatena","Hingawali","Lindi Rural","Pangatena","Hingawali",2302
"Lindi","Lindi Rural","Pangatena","Njonjo","Lindi Rural","Pangatena","Njonjo",908
"Lindi","Lindi Rural","Pangatena","Pangatena","Lindi Rural","Pangatena","Pangatena",1689
"Lindi","Lindi Rural","Longa","Tulieni","Lindi Rural","Longa","Tulieni",485
"Lindi","Lindi Rural","Longa","Narwadi","Lindi Rural","Longa","Narwadi",609
"Lindi","Lindi Rural","Longa","Longa","Lindi Rural","Longa","Longa",2091
"Lindi","Lindi Rural","Rutamba","Makangara","Lindi Rural","Rutamba","Makangara",846
"Lindi","Lindi Rural","Rutamba","Rutambayasasa","Lindi Rural","Rutamba","Rutambayasasa",2772
"Lindi","Lindi Rural","Rutamba","Rutambayazamani","Lindi Rural","Rutamba","Rutambayazamani",1925
"Lindi","Lindi Rural","Rutamba","Kinyope","Lindi Rural","Rutamba","Kinyope",2896
"Lindi","Lindi Rural","Rutamba","Ruhama","Lindi Rural","Rutamba","Ruhoma",609
"Lindi","Lindi Rural","Rutamba","Michee","Lindi Rural","Rutamba","Michee",798
"Lindi","Lindi Rural","Rutamba","Chilala","Lindi Rural","Rutamba","Chilala",1365
"Lindi","Lindi Rural","Milola","Namtamba","Lindi Rural","Milola","Namtamba",798
"Lindi","Lindi Rural","Milola","Milola""B""","Lindi Rural","Milola","Milola""B""",3347
"Lindi","Lindi Rural","Milola","Milola""A""","Lindi Rural","Milola","Milola""A""",1508
"Lindi","Lindi Rural","Milola","Milola Magharibi","Lindi Rural","Milola","Milola Magharibi",976
"Lindi","Lindi Rural","Milola","Mkangaulani","Lindi Rural","Milola","Mkangaulani",1647
"Lindi","Lindi Rural","Milola","Legezamwendo","Lindi Rural","Milola","Legezamwendo",729
"Lindi","Lindi Rural","Milola","Ruchemi","Lindi Rural","Milola","Ruchemi",612
"Lindi","Lindi Rural","Kiwawa","Mputwa","Lindi Rural","Kiwawa","Mputwa",986
"Lindi","Lindi Rural","Kiwawa","Kiwawa","Lindi Rural","Kiwawa","Kiwawa",1682
"Lindi","Lindi Rural","Mtumbya","Mtumbya","Lindi Rural","Mtumbya","Mtumbya",1156
"Lindi","Lindi Rural","Mtumbya","Kilimanjaro","Lindi Rural","Mtumbya","Kilimanjaro",703
"Lindi","Lindi Rural","Matimba","Moka","Lindi Rural","Matimba","Moka",1132
"Lindi","Lindi Rural","Matimba","Likwaya","Lindi Rural","Matimba","Likwaya",441
"Lindi","Lindi Rural","Matimba","Kikomolela","Lindi Rural","Matimba","Kikomolela",1163
"Lindi","Lindi Rural","Matimba","Matimba","Lindi Rural","Matimba","Matimba",572
"Lindi","Lindi Rural","Matimba","Komolo","Lindi Rural","Matimba","Komolo",1625
"Lindi","Lindi Rural","Nangaru","Makumba","Lindi Rural","Nangaru","Makumba",621
"Lindi","Lindi Rural","Nangaru","Mkombamosi","Lindi Rural","Nangaru","Mkombamosi",2095
"Lindi","Lindi Rural","Nangaru","Muungano","Lindi Rural","Nangaru","Muungano",2564
"Lindi","Lindi Rural","Majengo","Mkwajuni","Lindi Rural","Majengo","Mkwajuni",1288
"Lindi","Lindi Rural","Majengo","Mbalala","Lindi Rural","Majengo","Mbalala",557
"Lindi","Lindi Rural","Majengo","Masasi","Lindi Rural","Majengo","Masasi",907
"Lindi","Lindi Rural","Majengo","Nang ́aka","Lindi Rural","Majengo","Nang'aka",343
"Lindi","Lindi Rural","Majengo","Majengo""A""","Lindi Rural","Majengo","Majengo""A""",1875
"Lindi","Lindi Rural","Majengo","Majengo""B""","Lindi Rural","Majengo","Majengo""B""",1920
"Lindi","Lindi Rural","Namangwale","Namangale ""B""","Lindi Rural","Namangale","Namangale ""B""",1484
"Lindi","Lindi Rural","Namangwale","Mawilo","Lindi Rural","Namangale","Mawilo",402
"Lindi","Lindi Rural","Namangwale","Chiwelele","Lindi Rural","Namangale","Chiwelele",1486
"Lindi","Lindi Rural","Namangwale","Namangale","Lindi Rural","Namangale","Namangale",2448
"Lindi","Nachingwea","Nambambo","Ugogoni","Nachingwea","Nambambo","Ugogoni",1412
"Lindi","Nachingwea","Nambambo","Jiunge","Nachingwea","Nambambo","Jiunge",1314
"Lindi","Nachingwea","Nambambo","Ugawaji","Nachingwea","Nambambo","Ugawaji",1543
"Lindi","Nachingwea","Nambambo","Posta","Nachingwea","Nambambo","Posta",2267
"Lindi","Nachingwea","Nambambo","Boma","Nachingwea","Nambambo","Boma",1250
"Lindi","Nachingwea","Nambambo","Uhindini","Nachingwea","Nambambo","Uhindini",583
"Lindi","Nachingwea","Nambambo","Uliza","Nachingwea","Nambambo","Uliza",457
"Lindi","Nachingwea","Nambambo","Darajani","Nachingwea","Nambambo","Darajani",514
"Lindi","Nachingwea","Nambambo","Nyerere","Nachingwea","Nambambo","Nyerere",855
"Lindi","Nachingwea","Nambambo","Mwera","Nachingwea","Nambambo","Mwera",901
"Lindi","Nachingwea","Nambambo","Nangangano","Nachingwea","Nambambo","Nangangano",573
"Lindi","Nachingwea","Nambambo","Mshikamano","Nachingwea","Nambambo","Mshikamano",856
"Lindi","Nachingwea","Nambambo","Kaloleni","Nachingwea","Nambambo","Kaloleni",718
"Lindi","Nachingwea","Nambambo","Amani","Nachingwea","Nambambo","Amani",546
"Lindi","Nachingwea","Nambambo","Rahaleo","Nachingwea","Nambambo","Rahaleo",706
"Lindi","Nachingwea","Nambambo","Nachingwea","Nachingwea","Nambambo","Nachingwea",699
"Lindi","Nachingwea","Nambambo","Kazamoyo","Nachingwea","Nambambo","Kazamoyo",1398
"Lindi","Nachingwea","Kilimahewa","Nampemba","Nachingwea","Kilimanihewa","Nampemba",792
"Lindi","Nachingwea","Kilimahewa","Mtepeche","Nachingwea","Kilimanihewa","Mtepeche",323
"Lindi","Nachingwea","Kilimahewa","Kilimanihewa","Nachingwea","Kilimanihewa","Kilimanihewa",3159
"Lindi","Nachingwea","Kilimahewa","Mazoezi","Nachingwea","Kilimanihewa","Mazoezi",2561
"Lindi","Nachingwea","Ruponda","Ruponda","Nachingwea","Ruponda","Ruponda",1023
"Lindi","Nachingwea","Ruponda","Mibondo","Nachingwea","Ruponda","Mibondo",578
"Lindi","Nachingwea","Ruponda","Nammanga","Nachingwea","Ruponda","Nammanga",2462
"Lindi","Nachingwea","Ruponda","Mandawa","Nachingwea","Ruponda","Mandawa",1732
"Lindi","Nachingwea","Ruponda","Mwananyamala","Nachingwea","Ruponda","Mwananyamala",543
"Lindi","Nachingwea","Mneromiembeni","Mneromiembeni","Nachingwea","Mneromiembeni","Mneromiembeni",2275
"Lindi","Nachingwea","Mneromiembeni","Mkonjela","Nachingwea","Mneromiembeni","Mkonjela",2088
"Lindi","Nachingwea","Mneromiembeni","Ntila","Nachingwea","Mneromiembeni","Ntila",1591
"Lindi","Nachingwea","Mneromiembeni","Farm8","Nachingwea","Mneromiembeni","Farm8",854
"Lindi","Nachingwea","Mneromiembeni","Namkula","Nachingwea","Mneromiembeni","Namkula",1704
"Lindi","Nachingwea","Namapwia","Mbute","Nachingwea","Namapwia","Mbute",643
"Lindi","Nachingwea","Namapwia","Likongowele","Nachingwea","Namapwia","Likongowele",1544
"Lindi","Nachingwea","Namapwia","Namapwia","Nachingwea","Namapwia","Namapwia",2136
"Lindi","Nachingwea","Kiparamnero","Kiparamnero","Nachingwea","Kipara mnero","Kiparamnero",926
"Lindi","Nachingwea","Kiparamnero","Nambalapala","Nachingwea","Kipara mnero","Nambalapala",2446
"Lindi","Nachingwea","Kiparamnero","Mwandila","Nachingwea","Kipara mnero","Mwandila",1545
"Lindi","Nachingwea","Lionja","Ilolo","Nachingwea","Lionja","Ilolo",767
"Lindi","Nachingwea","Lionja","Lionja""A""","Nachingwea","Lionja","Lionja""A""",3409
"Lindi","Nachingwea","Lionja","Lionja""B""","Nachingwea","Lionja","Lionja""B""",937
"Lindi","Nachingwea","Lionja","Lipuyu","Nachingwea","Lionja","Lipuyu",775
"Lindi","Nachingwea","Lionja","Ngunichile","Nachingwea","Lionja","Ngunichile",2634
"Lindi","Nachingwea","Namikango","Namikango""A""","Nachingwea","Namikango","Namikango""A""",1438
"Lindi","Nachingwea","Namikango","Nangunde","Nachingwea","Namikango","Nangunde",1159
"Lindi","Nachingwea","Namikango","Namikango""B""","Nachingwea","Namikango","Namikango""B""",1175
"Lindi","Nachingwea","Nditi","Nditi","Nachingwea","Nditi","Nditi",1739
"Lindi","Nachingwea","Nditi","Namanja","Nachingwea","Nditi","Namanja",1362
"Lindi","Nachingwea","Nditi","Nyambi""A""","Nachingwea","Nditi","Nyambi""A""",645
"Lindi","Nachingwea","Nditi","Nyambi""B""","Nachingwea","Nditi","Nyambi""B""",694
