"Date","Correct_Village","Correct_Ward","Correct_District","Correct_Region","Dogs.without.collars","Dogs.with.collars","month","year","DWV","DW"
2015-09-20,"Nangambi","Mingumbi","Kilwa","Lindi",1,2,69,2015,"kilwa_mingumbi_nangambi","kilwa_mingumbi"
2016-11-20,"Nangambi","Mingumbi","Kilwa","Lindi",0,10,83,2016,"kilwa_mingumbi_nangambi","kilwa_mingumbi"
2014-07-23,"Nangambi","Mingumbi","Kilwa","Lindi",1,3,55,2014,"kilwa_mingumbi_nangambi","kilwa_mingumbi"
2015-09-20,"Miteja","Miteja","Kilwa","Lindi",1,2,69,2015,"kilwa_miteja_miteja","kilwa_miteja"
2015-09-21,"Miteja","Miteja","Kilwa","Lindi",0,2,69,2015,"kilwa_miteja_miteja","kilwa_miteja"
2015-09-24,"Mtoni","Miteja","Kilwa","Lindi",1,0,69,2015,"kilwa_miteja_mtoni","kilwa_miteja"
2015-09-22,"Mtukwao","Miteja","Kilwa","Lindi",2,1,69,2015,"kilwa_miteja_mtukwao","kilwa_miteja"
2015-09-23,"Tilawandu","Miteja","Kilwa","Lindi",0,1,69,2015,"kilwa_miteja_tilawandu","kilwa_miteja"
2014-07-13,"Mitole","Mitole","Kilwa","Lindi",7,4,55,2014,"kilwa_mitole_mitole","kilwa_mitole"
2015-09-21,"Mitole","Mitole","Kilwa","Lindi",2,26,69,2015,"kilwa_mitole_mitole","kilwa_mitole"
2016-11-28,"Mitole","Mitole","Kilwa","Lindi",2,4,83,2016,"kilwa_mitole_mitole","kilwa_mitole"
2016-11-28,"Ngea","Mitole","Kilwa","Lindi",0,2,83,2016,"kilwa_mitole_ngea","kilwa_mitole"
2014-07-20,"Nakiu","Nanjirinji","Kilwa","Lindi",2,5,55,2014,"kilwa_nanjirinji_nakiu","kilwa_nanjirinji"
2015-09-30,"Nakiu","Nanjirinji","Kilwa","Lindi",5,4,69,2015,"kilwa_nanjirinji_nakiu","kilwa_nanjirinji"
2015-10-01,"Nanji 'A'","Nanjirinji","Kilwa","Lindi",5,4,70,2015,"kilwa_nanjirinji_nanjia","kilwa_nanjirinji"
2014-07-15,"Nanji 'A'","Nanjirinji","Kilwa","Lindi",15,8,55,2014,"kilwa_nanjirinji_nanjia","kilwa_nanjirinji"
2015-10-02,"Nanjiri B'","Nanjirinji","Kilwa","Lindi",0,4,70,2015,"kilwa_nanjirinji_nanjirib","kilwa_nanjirinji"
2014-07-14,"Nanjiri B'","Nanjirinji","Kilwa","Lindi",8,9,55,2014,"kilwa_nanjirinji_nanjirib","kilwa_nanjirinji"
2014-07-17,"Kipindimbi","Njinjo","Kilwa","Lindi",0,1,55,2014,"kilwa_njinjo_kipindimbi","kilwa_njinjo"
2016-11-29,"Kipindimbi","Njinjo","Kilwa","Lindi",2,7,83,2016,"kilwa_njinjo_kipindimbi","kilwa_njinjo"
2014-07-18,"Kisimamkika","Njinjo","Kilwa","Lindi",1,2,55,2014,"kilwa_njinjo_kisimamkika","kilwa_njinjo"
2016-11-30,"Njinjo","Njinjo","Kilwa","Lindi",1,1,83,2016,"kilwa_njinjo_njinjo","kilwa_njinjo"
2014-07-14,"Malalani","Pande Mikoma","Kilwa","Lindi",12,5,55,2014,"kilwa_pandemikoma_malalani","kilwa_pandemikoma"
2014-07-16,"Mtitimila","Pande Mikoma","Kilwa","Lindi",11,4,55,2014,"kilwa_pandemikoma_mtitimila","kilwa_pandemikoma"
2014-07-17,"Nakimweramikoma","Pande Mikoma","Kilwa","Lindi",11,6,55,2014,"kilwa_pandemikoma_nakimweramikoma","kilwa_pandemikoma"
2014-07-16,"Namwedo","Pande Mikoma","Kilwa","Lindi",4,7,55,2014,"kilwa_pandemikoma_namwedo","kilwa_pandemikoma"
2014-07-16,"Nang'oo Kiwala","Pande Mikoma","Kilwa","Lindi",26,4,55,2014,"kilwa_pandemikoma_nangookiwala","kilwa_pandemikoma"
2014-07-15,"Pande Ploti","Pande Mikoma","Kilwa","Lindi",11,2,55,2014,"kilwa_pandemikoma_pandeploti","kilwa_pandemikoma"
2014-07-21,"Songomnara","Pande Mikoma","Kilwa","Lindi",2,1,55,2014,"kilwa_pandemikoma_songomnara","kilwa_pandemikoma"
2016-11-21,"Mtandango","Tingi","Kilwa","Lindi",1,25,83,2016,"kilwa_tingi_mtandango","kilwa_tingi"
2014-07-19,"Njianne","Tingi","Kilwa","Lindi",4,6,55,2014,"kilwa_tingi_njianne","kilwa_tingi"
2016-11-23,"Njianne","Tingi","Kilwa","Lindi",8,15,83,2016,"kilwa_tingi_njianne","kilwa_tingi"
2016-11-21,"Tingi","Tingi","Kilwa","Lindi",3,16,83,2016,"kilwa_tingi_tingi","kilwa_tingi"
2015-09-01,"Chiodya A","Chiponda","Lindi Rural","Lindi",2,3,69,2015,"lindirural_chiponda_chiodyaa","lindirural_chiponda"
2016-11-14,"Chiodya A","Chiponda","Lindi Rural","Lindi",0,3,83,2016,"lindirural_chiponda_chiodyaa","lindirural_chiponda"
2014-06-23,"Chiodya A","Chiponda","Lindi Rural","Lindi",12,6,54,2014,"lindirural_chiponda_chiodyaa","lindirural_chiponda"
2015-09-01,"Chiodya B","Chiponda","Lindi Rural","Lindi",0,3,69,2015,"lindirural_chiponda_chiodyab","lindirural_chiponda"
2015-09-09,"Chiodya B","Chiponda","Lindi Rural","Lindi",2,2,69,2015,"lindirural_chiponda_chiodyab","lindirural_chiponda"
2016-11-14,"Chiodya B","Chiponda","Lindi Rural","Lindi",1,2,83,2016,"lindirural_chiponda_chiodyab","lindirural_chiponda"
2016-11-16,"Chiodya B","Chiponda","Lindi Rural","Lindi",0,0,83,2016,"lindirural_chiponda_chiodyab","lindirural_chiponda"
2014-06-25,"Chiodya B","Chiponda","Lindi Rural","Lindi",4,8,54,2014,"lindirural_chiponda_chiodyab","lindirural_chiponda"
2015-09-03,"Chiponda","Chiponda","Lindi Rural","Lindi",0,2,69,2015,"lindirural_chiponda_chiponda","lindirural_chiponda"
2016-11-13,"Chiponda","Chiponda","Lindi Rural","Lindi",0,2,83,2016,"lindirural_chiponda_chiponda","lindirural_chiponda"
2014-06-23,"Chiponda","Chiponda","Lindi Rural","Lindi",0,3,54,2014,"lindirural_chiponda_chiponda","lindirural_chiponda"
2015-09-02,"Mwangu","Chiponda","Lindi Rural","Lindi",4,4,69,2015,"lindirural_chiponda_mwangu","lindirural_chiponda"
2016-11-12,"Mwangu","Chiponda","Lindi Rural","Lindi",0,1,83,2016,"lindirural_chiponda_mwangu","lindirural_chiponda"
2014-06-24,"Mwangu","Chiponda","Lindi Rural","Lindi",9,3,54,2014,"lindirural_chiponda_mwangu","lindirural_chiponda"
2015-09-02,"Ntauna","Chiponda","Lindi Rural","Lindi",0,5,69,2015,"lindirural_chiponda_ntauna","lindirural_chiponda"
2016-11-15,"Ntauna","Chiponda","Lindi Rural","Lindi",1,1,83,2016,"lindirural_chiponda_ntauna","lindirural_chiponda"
2014-06-22,"Ntauna","Chiponda","Lindi Rural","Lindi",5,19,54,2014,"lindirural_chiponda_ntauna","lindirural_chiponda"
2016-11-14,"Kilangala A","Kilangala","Lindi Rural","Lindi",1,2,83,2016,"lindirural_kilangala_kilangalaa","lindirural_kilangala"
2014-06-23,"Kilangala A","Kilangala","Lindi Rural","Lindi",0,1,54,2014,"lindirural_kilangala_kilangalaa","lindirural_kilangala"
2015-08-30,"Kilangala A","Kilangala","Lindi Rural","Lindi",3,3,68,2015,"lindirural_kilangala_kilangalaa","lindirural_kilangala"
2016-11-12,"Kilangala B","Kilangala","Lindi Rural","Lindi",10,2,83,2016,"lindirural_kilangala_kilangalab","lindirural_kilangala"
2014-06-26,"Kilangala B","Kilangala","Lindi Rural","Lindi",1,8,54,2014,"lindirural_kilangala_kilangalab","lindirural_kilangala"
2015-08-30,"Kilangala B","Kilangala","Lindi Rural","Lindi",0,2,68,2015,"lindirural_kilangala_kilangalab","lindirural_kilangala"
2015-09-01,"Mnimbila","Kilangala","Lindi Rural","Lindi",0,4,69,2015,"lindirural_kilangala_mnimbila","lindirural_kilangala"
2016-11-14,"Mnimbila","Kilangala","Lindi Rural","Lindi",3,5,83,2016,"lindirural_kilangala_mnimbila","lindirural_kilangala"
2014-06-23,"Mnimbila","Kilangala","Lindi Rural","Lindi",13,4,54,2014,"lindirural_kilangala_mnimbila","lindirural_kilangala"
2016-11-15,"Mtumbikile","Kilangala","Lindi Rural","Lindi",6,7,83,2016,"lindirural_kilangala_mtumbikile","lindirural_kilangala"
2014-06-27,"Mtumbikile","Kilangala","Lindi Rural","Lindi",7,4,54,2014,"lindirural_kilangala_mtumbikile","lindirural_kilangala"
2015-08-31,"Mtumbikile","Kilangala","Lindi Rural","Lindi",0,2,68,2015,"lindirural_kilangala_mtumbikile","lindirural_kilangala"
2015-09-02,"Dimba","Kilolambwani","Lindi Rural","Lindi",4,3,69,2015,"lindirural_kilolambwani_dimba","lindirural_kilolambwani"
