"month","species","n"
79,"other_dom",0
80,"other_dom",0
81,"other_dom",0
82,"other_dom",0
83,"other_dom",0
84,"other_dom",0
85,"other_dom",0
86,"other_dom",0
87,"other_dom",0
88,"other_dom",0
89,"other_dom",0
90,"other_dom",0
91,"other_dom",0
92,"other_dom",0
93,"other_dom",0
94,"other_dom",0
95,"other_dom",0
96,"other_dom",0
97,"other_dom",0
98,"other_dom",0
99,"other_dom",0
100,"other_dom",0
101,"other_dom",0
102,"other_dom",0
103,"other_dom",0
1,"jackal",4
2,"jackal",7
3,"jackal",9
4,"jackal",12
5,"jackal",7
6,"jackal",8
7,"jackal",5
8,"jackal",8
9,"jackal",5
10,"jackal",1
11,"jackal",5
12,"jackal",3
13,"jackal",3
14,"jackal",6
15,"jackal",7
16,"jackal",6
17,"jackal",3
18,"jackal",8
19,"jackal",3
20,"jackal",1
21,"jackal",2
22,"jackal",1
23,"jackal",0
24,"jackal",4
25,"jackal",0
26,"jackal",5
27,"jackal",2
28,"jackal",3
29,"jackal",0
30,"jackal",8
31,"jackal",4
32,"jackal",3
33,"jackal",2
34,"jackal",2
35,"jackal",2
36,"jackal",3
37,"jackal",1
38,"jackal",2
39,"jackal",1
40,"jackal",5
41,"jackal",2
42,"jackal",7
43,"jackal",1
44,"jackal",5
45,"jackal",1
46,"jackal",0
47,"jackal",2
48,"jackal",1
49,"jackal",0
50,"jackal",0
51,"jackal",2
52,"jackal",2
53,"jackal",2
54,"jackal",1
55,"jackal",3
56,"jackal",0
57,"jackal",1
58,"jackal",1
59,"jackal",0
60,"jackal",0
61,"jackal",1
62,"jackal",3
63,"jackal",2
64,"jackal",1
65,"jackal",2
66,"jackal",1
67,"jackal",0
68,"jackal",0
69,"jackal",0
70,"jackal",0
71,"jackal",0
72,"jackal",1
73,"jackal",1
74,"jackal",2
75,"jackal",2
76,"jackal",0
77,"jackal",0
78,"jackal",0
79,"jackal",0
80,"jackal",0
81,"jackal",0
82,"jackal",2
83,"jackal",0
84,"jackal",0
85,"jackal",0
86,"jackal",1
87,"jackal",0
88,"jackal",0
89,"jackal",1
90,"jackal",0
91,"jackal",5
92,"jackal",0
93,"jackal",3
94,"jackal",0
95,"jackal",0
96,"jackal",0
97,"jackal",0
98,"jackal",0
99,"jackal",0
100,"jackal",0
101,"jackal",0
102,"jackal",0
103,"jackal",1
1,"other_wild",0
2,"other_wild",0
3,"other_wild",0
4,"other_wild",0
5,"other_wild",0
6,"other_wild",1
7,"other_wild",0
8,"other_wild",0
9,"other_wild",0
10,"other_wild",1
11,"other_wild",1
12,"other_wild",0
13,"other_wild",0
14,"other_wild",0
15,"other_wild",1
16,"other_wild",0
17,"other_wild",0
18,"other_wild",0
19,"other_wild",0
20,"other_wild",1
21,"other_wild",0
22,"other_wild",0
23,"other_wild",0
24,"other_wild",0
25,"other_wild",0
26,"other_wild",0
27,"other_wild",1
28,"other_wild",0
29,"other_wild",0
30,"other_wild",0
31,"other_wild",0
32,"other_wild",0
33,"other_wild",0
34,"other_wild",1
35,"other_wild",0
36,"other_wild",1
37,"other_wild",0
38,"other_wild",0
39,"other_wild",0
40,"other_wild",0
41,"other_wild",0
42,"other_wild",1
43,"other_wild",0
44,"other_wild",1
45,"other_wild",1
46,"other_wild",0
47,"other_wild",2
48,"other_wild",0
49,"other_wild",0
50,"other_wild",0
51,"other_wild",0
52,"other_wild",1
53,"other_wild",0
54,"other_wild",0
55,"other_wild",0
56,"other_wild",0
57,"other_wild",0
58,"other_wild",0
59,"other_wild",0
60,"other_wild",0
61,"other_wild",0
62,"other_wild",0
63,"other_wild",0
64,"other_wild",1
65,"other_wild",0
66,"other_wild",0
67,"other_wild",0
68,"other_wild",0
69,"other_wild",0
70,"other_wild",0
71,"other_wild",0
72,"other_wild",0
73,"other_wild",0
74,"other_wild",0
75,"other_wild",0
76,"other_wild",0
77,"other_wild",0
78,"other_wild",0
79,"other_wild",0
80,"other_wild",0
81,"other_wild",0
82,"other_wild",0
83,"other_wild",0
84,"other_wild",0
85,"other_wild",0
86,"other_wild",0
87,"other_wild",0
88,"other_wild",0
89,"other_wild",0
90,"other_wild",0
91,"other_wild",0
92,"other_wild",0
93,"other_wild",0
94,"other_wild",0
95,"other_wild",0
96,"other_wild",0
97,"other_wild",0
98,"other_wild",0
99,"other_wild",0
100,"other_wild",0
101,"other_wild",0
102,"other_wild",0
103,"other_wild",0
