"Date","Study.Area","Region","District","Ward","Village.2002","Village","Location.Source","Kitongoji","Latitude","Longitude","UTM.Easting","UTM.Northing","District.1","Village.1","Biter.ID","ID","Uncertainty","Species","Other.species","Owner","Suspect","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Known.bites","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Date_proxy","Year","month_n"
"05-Apr-2016","STz","Mtwara","Mtwara","Mayanga",NA,NA,"GPS Receiver","Madukani",NA,NA,NA,NA,"Mtwara Rural",NA,0,21,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2015-06-10","+/- 7 days","2015-06-10",2015,54
"05-Apr-2016","STz","Mtwara","Mtwara","Dihimba",NA,NA,"GPS Receiver","Sokoni",NA,NA,NA,NA,"Mtwara Rural",NA,0,22,"on the farm","Wildlife: Hyena",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-03-31","+/- 7 days","2012-03-31",2012,15
"07-Aug-2017","STz","Mtwara","Mtwara","Dihimba",NA,NA,"GPS Receiver","Shangani",NA,NA,NA,NA,"Mtwara Rural",NA,0,23,"nearby","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2012-03-15","+/- 7 days","2012-03-15",2012,15
"05-Apr-2016","STz","Mtwara","Mtwara","Dihimba",NA,NA,"GPS Receiver","Miembeni",NA,NA,NA,NA,"Mtwara Rural",NA,0,24,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-03-15","+/- 7 days","2012-03-15",2012,15
"05-Apr-2016","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Sokoni",NA,NA,NA,NA,"Mtwara Rural",NA,0,18,"on the farm","Wildlife: Hyena",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-11-15","+/- 7 days","2014-11-15",2014,47
"07-Aug-2017","STz","Mtwara","Mtwara","Mnima",NA,NA,"GPS Receiver","Shuleni",NA,NA,NA,NA,"Mtwara Rural",NA,0,19,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2011-09-11","+/- 7 days","2011-09-11",2011,9
"05-Apr-2016","STz","Mtwara","Mtwara","Dihimba",NA,NA,"GPS Receiver","Nachenga",NA,NA,NA,NA,"Mtwara Rural",NA,0,25,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-06-15","+/- 7 days","2013-06-15",2013,30
"05-Apr-2016","STz","Mtwara","Mtwara","Dihimba",NA,NA,"GPS Receiver","Nachenga",NA,NA,NA,NA,"Mtwara Rural",NA,0,26,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-07-10","+/- 7 days","2013-07-10",2013,31
"05-Apr-2016","STz","Mtwara","Mtwara","Dihimba",NA,NA,"GPS Receiver","Shuleni",NA,NA,NA,NA,"Mtwara Rural",NA,0,27,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-02-15","+/- 7 days","2012-02-15",2012,14
"07-Aug-2017","STz","Mtwara","Mtwara","Kitere",NA,NA,"GPS Receiver","Ushirika",NA,NA,NA,NA,"Mtwara Rural",NA,0,28,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-06-21","+/- 7 days","2012-06-21",2012,18
"05-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"GPS Receiver","Tandika",NA,NA,NA,NA,"Mtwara Rural",NA,0,29,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-08-12","+/- 7 days","2013-08-12",2013,32
"05-Apr-2016","STz","Mtwara","Mtwara","Njengwa",NA,NA,"GPS Receiver","Tulia",NA,NA,NA,NA,"Mtwara Rural",NA,0,30,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-06-15","+/- 7 days","2013-06-15",2013,30
"05-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"GPS Receiver","Tandika",NA,NA,NA,NA,"Mtwara Rural",NA,0,31,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-09-07","+/- 7 days","2013-09-07",2013,33
"07-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Namahukula",NA,NA,NA,NA,"Mtwara Rural",NA,0,32,"at home","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2012-10-04","+/- 7 days","2012-10-04",2012,22
"07-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Namahukula",NA,NA,NA,NA,"Mtwara Rural",NA,0,33,"at home","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2011-04-30","+/- 7 days","2011-04-30",2011,4
"07-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mtoni",NA,NA,NA,NA,"Mtwara Rural",NA,35,40,"","Domestic dog",NA,"Known","Yes","Not vaccinated","true","2012-02-03","0",NA,"true","2012-02-17","+/- 7 days","2012-02-03",2012,14
"07-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mtoni",NA,NA,NA,NA,"Mtwara Rural",NA,35,41,"","Domestic dog",NA,"Known","Yes","Not vaccinated","true","2012-02-03","0",NA,"true","2012-02-18","+/- 7 days","2012-02-03",2012,14
"07-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mtoni",NA,NA,NA,NA,"Mtwara Rural",NA,34,39,"","Domestic dog",NA,"Known","Yes","Not vaccinated","true","2012-01-31","0",NA,"true","2012-02-06","0","2012-01-31",2012,13
"07-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mtoni",NA,NA,NA,NA,"Mtwara Rural",NA,34,37,"","Domestic dog",NA,"Known","Yes","Not vaccinated","true","2012-01-31","0",NA,"true","2012-02-06","0","2012-01-31",2012,13
"07-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mtoni",NA,NA,NA,NA,"Mtwara Rural",NA,34,38,"","Domestic dog",NA,"Known","Yes","Not vaccinated","true","2012-01-31","0",NA,"true","2012-02-04","0","2012-01-31",2012,13
"07-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mtoni",NA,NA,NA,NA,"Mtwara Rural",NA,34,36,"","Domestic dog",NA,"Known","Yes","Not vaccinated","true","2012-01-31","0",NA,"true","2012-02-03","0","2012-01-31",2012,13
"05-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mnima",NA,NA,NA,NA,"Mtwara Rural",NA,0,34,"on the farm","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2012-01-31","+/- 7 days","2012-01-31",2012,13
"06-Apr-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mtoni",NA,NA,NA,NA,"Mtwara Rural",NA,34,35,"","Domestic dog",NA,"Known","Yes","Not vaccinated","true","2012-01-31","0",NA,"true","2012-02-03","0","2012-01-31",2012,13
"06-Apr-2016","STz","Mtwara","Mtwara","Ziwani",NA,NA,"GPS Receiver","Sogea",NA,NA,NA,NA,"Mtwara Rural",NA,0,46,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-08-14","+/- 7 days","2014-08-14",2014,44
"06-Apr-2016","STz","Mtwara","Mtwara","Ziwani",NA,NA,"GPS Receiver","Malamba",NA,NA,NA,NA,"Mtwara Rural",NA,0,45,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-08-02","+/- 7 days","2013-08-02",2013,32
"06-Apr-2016","STz","Mtwara","Mtwara","Ziwani",NA,NA,"GPS Receiver","Miembeni",NA,NA,NA,NA,"Mtwara Rural",NA,0,44,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-12-10","+/- 7 days","2012-12-10",2012,24
"07-Aug-2017","STz","Mtwara","Mtwara","Ziwani",NA,NA,"GPS Receiver","Shuleni",NA,NA,NA,NA,"Mtwara Rural",NA,0,43,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-02-15","+/- 7 days","2013-02-15",2013,26
"07-Aug-2017","STz","Mtwara","Mtwara","Ziwani",NA,NA,"GPS Receiver","Lukweta",NA,NA,NA,NA,"Mtwara Rural",NA,0,42,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-02-08","+/- 7 days","2013-02-08",2013,26
"07-Aug-2017","STz","Mtwara","Mtwara","Ziwani",NA,NA,"GPS Receiver","Majengo",NA,NA,NA,NA,"Mtwara Rural",NA,0,47,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-12-03","+/- 7 days","2013-12-03",2013,36
"13-Jul-2016","STz","Mtwara","Mtwara","Tangazo",NA,NA,"Manually Entered","Pachani",NA,NA,NA,NA,"Mtwara Rural",NA,0,56,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-06-15","+/- 7 days","2014-06-15",2014,42
"06-Apr-2016","STz","Mtwara","Mtwara","Tangazo",NA,NA,"Manually Entered","Pachani",NA,NA,NA,NA,"Mtwara Rural",NA,0,57,"far away","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2015-03-15","+/- 7 days","2015-03-15",2015,51
"06-Apr-2016","STz","Mtwara","Mtwara","Madimba",NA,NA,"Manually Entered","Majengo",NA,NA,NA,NA,"Mtwara Rural",NA,0,59,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2011-11-27","+/- 7 days","2011-11-27",2011,11
"13-Jul-2016","STz","Mtwara","Mtwara","Madimba",NA,NA,"Manually Entered","Kariakoo",NA,NA,NA,NA,"Mtwara Rural",NA,0,60,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-06-15","+/- 7 days","2014-06-15",2014,42
"06-Apr-2016","STz","Mtwara","Mtwara","Nanyamba",NA,NA,"Manually Entered","Ujenzi",NA,NA,NA,NA,"Mtwara Rural",NA,0,68,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-12-21","+/- 7 days","2012-12-21",2012,24
"13-Jul-2016","STz","Mtwara","Mtwara","Mbawala",NA,NA,"GPS Receiver","Makome",NA,NA,NA,NA,"Mtwara Rural",NA,0,49,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-03-08","+/- 7 days","2012-03-08",2012,15
"13-Jul-2016","STz","Mtwara","Mtwara","Mbawala",NA,NA,"GPS Receiver","Kipara",NA,NA,NA,NA,"Mtwara Rural",NA,0,50,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-04-15","+/- 7 days","2013-04-15",2013,28
"10-Sep-2016","STz","Mtwara","Mtwara","Kiyanga",NA,NA,"GPS Receiver","Majengo",NA,NA,NA,NA,"Mtwara Rural",NA,0,51,"far away","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-06-06","+/- 7 days","2013-06-06",2013,30
"13-Jul-2016","STz","Mtwara","Mtwara","Mahurunga",NA,NA,"GPS Receiver","Sokoni",NA,NA,NA,NA,"Mtwara Rural",NA,0,52,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-01-01","+/- 7 days","2014-01-01",2014,37
"06-Apr-2016","STz","Mtwara","Mtwara","Mahurunga",NA,NA,"GPS Receiver","Shuleni",NA,NA,NA,NA,"Mtwara Rural",NA,0,53,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-06-28","+/- 7 days","2013-06-28",2013,30
"06-Apr-2016","STz","Mtwara","Mtwara","Mahurunga",NA,NA,"GPS Receiver","Nang'unde",NA,NA,NA,NA,"Mtwara Rural",NA,0,54,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-03-15","+/- 7 days","2014-03-15",2014,39
"06-Apr-2016","STz","Mtwara","Mtwara","Mahurunga",NA,NA,"GPS Receiver","Nang'unde",NA,NA,NA,NA,"Mtwara Rural",NA,0,55,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-08-22","+/- 7 days","2014-08-22",2014,44
"06-Apr-2016","STz","Mtwara","Mtwara","Madimba",NA,NA,"GPS Receiver","Yao",NA,NA,NA,NA,"Mtwara Rural",NA,0,58,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-07-15","+/- 7 days","2014-07-15",2014,43
"13-Jul-2016","STz","Mtwara","Mtwara","Mayanga",NA,NA,"GPS Receiver","Sokoni",NA,NA,NA,NA,"Mtwara Rural",NA,0,61,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-09-16","+/- 7 days","2012-09-16",2012,21
"06-Apr-2016","STz","Mtwara","Mtwara","Mayanga",NA,NA,"GPS Receiver","Nanyati",NA,NA,NA,NA,"Mtwara Rural",NA,0,62,"","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-10-03","+/- 7 days","2012-10-03",2012,22
"06-Apr-2016","STz","Mtwara","Mtwara","Nanguruwe",NA,NA,"GPS Receiver","Ntemba",NA,NA,NA,NA,"Mtwara Rural",NA,0,64,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-07-15","+/- 7 days","2013-07-15",2013,31
"10-Sep-2016","STz","Mtwara","Mtwara","Nanguruwe",NA,NA,"GPS Receiver","Mchenju",NA,NA,NA,NA,"Mtwara Rural",NA,0,63,"far away","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-07-15","+/- 7 days","2013-07-15",2013,31
"06-Apr-2016","STz","Mtwara","Mtwara","Nanguruwe",NA,NA,"GPS Receiver","Ligula",NA,NA,NA,NA,"Mtwara Rural",NA,0,65,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-01-04","+/- 7 days","2012-01-04",2012,13
"13-Jul-2016","STz","Mtwara","Mtwara","Kiyanga",NA,NA,"GPS Receiver","Majengo",NA,NA,NA,NA,"Mtwara Rural",NA,0,67,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-04-28","+/- 7 days","2012-04-28",2012,16
"10-Sep-2016","STz","Mtwara","Mtwara","Likombe",NA,NA,"GPS Receiver","Mtepwezi",NA,NA,NA,NA,"Mtwara Urban",NA,0,69,"nearby","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2013-04-12","+/- 7 days","2013-04-12",2013,28
"06-Apr-2016","STz","Mtwara","Mtwara","Majengo",NA,NA,"GPS Receiver","Madaba",NA,NA,NA,NA,"Mtwara Urban",NA,0,70,"at home","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2012-10-09","+/- 7 days","2012-10-09",2012,22
"13-Jul-2016","STz","Mtwara","Mtwara","Milango Minne",NA,NA,"Manually Entered","Mnengedi",NA,NA,NA,NA,"Mtwara Rural",NA,0,71,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2011-11-15","+/- 7 days","2011-11-15",2011,11
"07-Apr-2016","STz","Mtwara","Mtwara","Mbembaleo",NA,NA,"Manually Entered","Shuleni",NA,NA,NA,NA,"Mtwara Rural",NA,0,72,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-04-13","+/- 7 days","2012-04-13",2012,16
"07-Aug-2017","STz","Mtwara","Mtwara","Mbembaleo",NA,NA,"Manually Entered","Shuleni",NA,NA,NA,NA,"Mtwara Rural",NA,0,73,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2014-06-15","+/- 7 days","2014-06-15",2014,42
"07-Apr-2016","STz","Mtwara","Mtwara","Kiyanga",NA,NA,"Manually Entered","Shuleni",NA,NA,NA,NA,"Mtwara Rural",NA,0,76,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-05-23","+/- 7 days","2012-05-23",2012,17
"07-Apr-2016","STz","Mtwara","Mtwara","Namtumbuka",NA,NA,"Manually Entered","Sokoni",NA,NA,NA,NA,"Mtwara Rural",NA,0,74,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-02-12","+/- 7 days","2012-02-12",2012,14
"07-Apr-2016","STz","Mtwara","Mtwara","Kiyanga",NA,NA,"Manually Entered","Sokoni",NA,NA,NA,NA,"Mtwara Rural",NA,0,75,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-06-15","+/- 7 days","2013-06-15",2013,30
"07-Apr-2016","STz","Mtwara","Mtwara","Kiyanga",NA,NA,"Manually Entered","Zahanati",NA,NA,NA,NA,"Mtwara Rural",NA,0,77,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-04-24","+/- 7 days","2012-04-24",2012,16
"07-Apr-2016","STz","Mtwara","Mtwara","Mtimbwilimbwi",NA,NA,"Manually Entered","Juhudi",NA,NA,NA,NA,"Mtwara Rural",NA,0,78,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-07-22","+/- 7 days","2012-07-22",2012,19
"07-Apr-2016","STz","Mtwara","Mtwara","Njengwa",NA,NA,"Manually Entered","Micheche",NA,NA,NA,NA,"Mtwara Rural",NA,0,79,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-12-14","+/- 7 days","2012-12-14",2012,24
"06-Apr-2016","STz","Mtwara","Mtwara","Mtimbwilimbwi",NA,NA,"Manually Entered","Ligula",NA,NA,NA,NA,"Mtwara Rural",NA,0,66,"at home","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2011-07-20","+/- 7 days","2011-07-20",2011,7
"07-Apr-2016","STz","Mtwara","Mtwara","Njengwa",NA,NA,"Manually Entered","Mmongo",NA,NA,NA,NA,"Mtwara Rural",NA,0,80,"on the farm","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2015-07-25","+/- 7 days","2015-07-25",2015,55
"07-Aug-2017","STz","Mtwara","Mtwara","Nitekela",NA,NA,"Manually Entered","Hinju",NA,NA,NA,NA,"Mtwara Rural",NA,0,82,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-08-10","+/- 7 days","2012-08-10",2012,20
"07-Aug-2017","STz","Mtwara","Mtwara","Njengwa",NA,NA,"Manually Entered","Zahanati",NA,NA,NA,NA,"Mtwara Rural",NA,0,81,"at home","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-04-23","+/- 7 days","2013-04-23",2013,28
"07-Apr-2016","STz","Mtwara","Mtwara","Nitekela",NA,NA,"Manually Entered","Nitekela Mjini",NA,NA,NA,NA,"Mtwara Rural",NA,0,83,"nearby","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2012-08-17","+/- 7 days","2012-08-17",2012,20
"07-Apr-2016","STz","Mtwara","Mtwara","Nanyamba",NA,NA,"Manually Entered","Natoto",NA,NA,NA,NA,"Mtwara Rural",NA,0,84,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-01-21","+/- 7 days","2012-01-21",2012,13
"07-Apr-2016","STz","Mtwara","Mtwara","Nanyamba",NA,NA,"Manually Entered","Ligula",NA,NA,NA,NA,"Mtwara Rural",NA,0,85,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-12-14","+/- 7 days","2012-12-14",2012,24
"13-Jul-2016","STz","Mtwara","Mtwara","Nanyamba",NA,NA,"Manually Entered","Kilimahewa",NA,NA,NA,NA,"Mtwara Rural",NA,0,86,"far away","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2011-11-24","+/- 7 days","2011-11-24",2011,11
"07-Apr-2016","STz","Mtwara","Mtwara","Nanyamba",NA,NA,"Manually Entered","Shingani",NA,NA,NA,NA,"Mtwara Rural",NA,0,87,"nearby","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2013-09-13","+/- 7 days","2013-09-13",2013,33
"07-Aug-2017","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Mtatala",NA,NA,NA,NA,"Mtwara Rural",NA,0,88,"far away","Wildlife: Jackal",NA,"Not applicable","Yes","Not applicable","false",NA,"",NA,"true","2012-05-22","+/- 7 days","2012-05-22",2012,17
"10-Sep-2016","STz","Mtwara","Mtwara","Mnima",NA,NA,"Manually Entered","Natolo",NA,NA,NA,NA,"Mtwara Rural",NA,0,89,"nearby","Domestic dog",NA,"Unknown","Yes","Unknown","false",NA,"",NA,"true","2015-03-09","+/- 7 days","2015-03-09",2015,51
